timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T18:14:25.8472423+02:00,2,41292,Godot_v4.6.2-stable_win64,1.859,0.000,483.7,492.9,30,"19432:StreamDeck:cpu_total=8511.6:ws=85MB|31148:DisplayFusion:cpu_total=6905.8:ws=152MB|6348:Codex:cpu_total=6390.3:ws=309MB|18288:Creative Cloud:cpu_total=5023.9:ws=313MB|23548:LM Studio:cpu_total=2305.7:ws=88MB|9972:CurseForge:cpu_total=2052.7:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=328MB|9932:Codex:cpu_total=1132.5:ws=451MB"
2026-06-25T18:14:27.9134310+02:00,4.1,41292,Godot_v4.6.2-stable_win64,3.688,1.828,557.4,762.2,31,"19432:StreamDeck:cpu_total=8512.7:ws=85MB|31148:DisplayFusion:cpu_total=6906.0:ws=152MB|6348:Codex:cpu_total=6391.2:ws=291MB|18288:Creative Cloud:cpu_total=5023.9:ws=313MB|23548:LM Studio:cpu_total=2305.7:ws=88MB|9972:CurseForge:cpu_total=2052.7:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=328MB|9932:Codex:cpu_total=1132.5:ws=451MB"
2026-06-25T18:14:29.9659099+02:00,6.2,41292,Godot_v4.6.2-stable_win64,5.250,1.562,608.1,851.4,32,"19432:StreamDeck:cpu_total=8513.8:ws=85MB|31148:DisplayFusion:cpu_total=6906.0:ws=152MB|6348:Codex:cpu_total=6392.5:ws=315MB|18288:Creative Cloud:cpu_total=5023.9:ws=313MB|23548:LM Studio:cpu_total=2305.7:ws=88MB|9972:CurseForge:cpu_total=2052.8:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=328MB|9932:Codex:cpu_total=1133.2:ws=362MB"
2026-06-25T18:14:32.0307640+02:00,8.2,41292,Godot_v4.6.2-stable_win64,7.766,2.516,703.0,1201.5,32,"19432:StreamDeck:cpu_total=8514.8:ws=85MB|31148:DisplayFusion:cpu_total=6906.2:ws=152MB|6348:Codex:cpu_total=6393.8:ws=313MB|18288:Creative Cloud:cpu_total=5023.9:ws=313MB|23548:LM Studio:cpu_total=2305.8:ws=88MB|9972:CurseForge:cpu_total=2052.8:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=328MB|9932:Codex:cpu_total=1133.5:ws=379MB"
2026-06-25T18:14:34.0824000+02:00,10.3,41292,Godot_v4.6.2-stable_win64,9.828,2.062,707.2,1205.6,32,"19432:StreamDeck:cpu_total=8515.9:ws=85MB|31148:DisplayFusion:cpu_total=6906.3:ws=152MB|6348:Codex:cpu_total=6394.8:ws=308MB|18288:Creative Cloud:cpu_total=5023.9:ws=313MB|23548:LM Studio:cpu_total=2305.8:ws=88MB|9972:CurseForge:cpu_total=2052.9:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=328MB|9932:Codex:cpu_total=1133.5:ws=376MB"
2026-06-25T18:14:36.1317512+02:00,12.3,41292,Godot_v4.6.2-stable_win64,11.938,2.109,707.2,1205.6,32,"19432:StreamDeck:cpu_total=8517.0:ws=85MB|31148:DisplayFusion:cpu_total=6906.3:ws=152MB|6348:Codex:cpu_total=6395.9:ws=308MB|18288:Creative Cloud:cpu_total=5023.9:ws=313MB|23548:LM Studio:cpu_total=2305.8:ws=88MB|9972:CurseForge:cpu_total=2052.9:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=329MB|9932:Codex:cpu_total=1133.9:ws=379MB"
2026-06-25T18:14:38.1786677+02:00,14.4,41292,Godot_v4.6.2-stable_win64,14.000,2.062,715.5,1213.9,32,"19432:StreamDeck:cpu_total=8518.0:ws=85MB|31148:DisplayFusion:cpu_total=6906.5:ws=152MB|6348:Codex:cpu_total=6396.9:ws=308MB|18288:Creative Cloud:cpu_total=5023.9:ws=313MB|23548:LM Studio:cpu_total=2305.8:ws=88MB|9972:CurseForge:cpu_total=2052.9:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=329MB|9932:Codex:cpu_total=1133.9:ws=377MB"
2026-06-25T18:14:40.2310406+02:00,16.4,41292,Godot_v4.6.2-stable_win64,16.047,2.047,715.5,1213.9,32,"19432:StreamDeck:cpu_total=8518.9:ws=85MB|31148:DisplayFusion:cpu_total=6906.5:ws=152MB|6348:Codex:cpu_total=6397.7:ws=308MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2305.9:ws=88MB|9972:CurseForge:cpu_total=2053.0:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=329MB|9932:Codex:cpu_total=1133.9:ws=377MB"
2026-06-25T18:14:42.2797451+02:00,18.5,41292,Godot_v4.6.2-stable_win64,18.109,2.062,715.5,1213.9,32,"19432:StreamDeck:cpu_total=8519.8:ws=85MB|31148:DisplayFusion:cpu_total=6906.7:ws=152MB|6348:Codex:cpu_total=6398.5:ws=309MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.0:ws=88MB|9972:CurseForge:cpu_total=2053.0:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=329MB|9932:Codex:cpu_total=1133.9:ws=377MB"
2026-06-25T18:14:44.3423856+02:00,20.5,41292,Godot_v4.6.2-stable_win64,20.188,2.078,720.4,1218.8,32,"19432:StreamDeck:cpu_total=8520.8:ws=85MB|31148:DisplayFusion:cpu_total=6906.8:ws=152MB|6348:Codex:cpu_total=6399.6:ws=318MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.0:ws=88MB|9972:CurseForge:cpu_total=2053.1:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=329MB|9932:Codex:cpu_total=1133.9:ws=377MB"
2026-06-25T18:14:46.3853685+02:00,22.6,41292,Godot_v4.6.2-stable_win64,22.234,2.047,851.3,1353.9,32,"19432:StreamDeck:cpu_total=8522.1:ws=85MB|31148:DisplayFusion:cpu_total=6907.0:ws=152MB|6348:Codex:cpu_total=6400.6:ws=310MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.1:ws=88MB|9972:CurseForge:cpu_total=2053.1:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=329MB|9932:Codex:cpu_total=1133.9:ws=376MB"
2026-06-25T18:14:48.4459900+02:00,24.6,41292,Godot_v4.6.2-stable_win64,24.813,2.578,763.6,1263.5,32,"19432:StreamDeck:cpu_total=8522.8:ws=85MB|31148:DisplayFusion:cpu_total=6907.0:ws=152MB|6348:Codex:cpu_total=6401.5:ws=317MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.1:ws=88MB|9972:CurseForge:cpu_total=2053.2:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=329MB|9932:Codex:cpu_total=1134.0:ws=377MB"
2026-06-25T18:14:50.4943604+02:00,26.7,41292,Godot_v4.6.2-stable_win64,32.938,8.125,804.3,1583.6,33,"19432:StreamDeck:cpu_total=8523.8:ws=85MB|31148:DisplayFusion:cpu_total=6907.1:ws=152MB|6348:Codex:cpu_total=6402.4:ws=311MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.1:ws=88MB|9972:CurseForge:cpu_total=2053.2:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=329MB|9932:Codex:cpu_total=1134.6:ws=392MB"
2026-06-25T18:14:52.5447331+02:00,28.7,41292,Godot_v4.6.2-stable_win64,39.719,6.781,824.6,1604.1,33,"19432:StreamDeck:cpu_total=8524.7:ws=85MB|31148:DisplayFusion:cpu_total=6907.3:ws=152MB|6348:Codex:cpu_total=6403.3:ws=311MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.1:ws=88MB|9972:CurseForge:cpu_total=2053.2:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=330MB|9932:Codex:cpu_total=1135.1:ws=421MB"
2026-06-25T18:14:54.5860942+02:00,30.8,41292,Godot_v4.6.2-stable_win64,41.781,2.062,824.6,1604.1,33,"19432:StreamDeck:cpu_total=8525.7:ws=85MB|31148:DisplayFusion:cpu_total=6907.3:ws=152MB|6348:Codex:cpu_total=6404.0:ws=309MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.1:ws=88MB|9972:CurseForge:cpu_total=2053.3:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=330MB|9932:Codex:cpu_total=1135.1:ws=421MB"
2026-06-25T18:14:56.6298911+02:00,32.8,41292,Godot_v4.6.2-stable_win64,43.906,2.125,824.6,1604.1,33,"19432:StreamDeck:cpu_total=8526.7:ws=85MB|31148:DisplayFusion:cpu_total=6907.4:ws=152MB|6348:Codex:cpu_total=6404.9:ws=310MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.1:ws=88MB|9972:CurseForge:cpu_total=2053.3:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=330MB|9932:Codex:cpu_total=1135.1:ws=408MB"
2026-06-25T18:14:58.6872158+02:00,34.9,41292,Godot_v4.6.2-stable_win64,45.953,2.047,838.6,1617.4,33,"19432:StreamDeck:cpu_total=8527.7:ws=85MB|31148:DisplayFusion:cpu_total=6907.5:ws=152MB|6348:Codex:cpu_total=6406.0:ws=318MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.1:ws=88MB|9972:CurseForge:cpu_total=2053.3:ws=56MB|9240:steamwebhelper:cpu_total=1397.0:ws=330MB|9932:Codex:cpu_total=1135.2:ws=408MB"
2026-06-25T18:15:00.7388932+02:00,36.9,41292,Godot_v4.6.2-stable_win64,50.563,4.609,843.2,1621.8,33,"19432:StreamDeck:cpu_total=8528.6:ws=85MB|31148:DisplayFusion:cpu_total=6907.5:ws=152MB|6348:Codex:cpu_total=6407.2:ws=315MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.2:ws=88MB|9972:CurseForge:cpu_total=2053.4:ws=56MB|9240:steamwebhelper:cpu_total=1397.1:ws=330MB|9932:Codex:cpu_total=1136.3:ws=430MB"
2026-06-25T18:15:02.7894258+02:00,39,41292,Godot_v4.6.2-stable_win64,55.359,4.797,871.7,1649.9,33,"19432:StreamDeck:cpu_total=8529.5:ws=85MB|31148:DisplayFusion:cpu_total=6907.7:ws=152MB|6348:Codex:cpu_total=6408.3:ws=310MB|18288:Creative Cloud:cpu_total=5024.0:ws=313MB|23548:LM Studio:cpu_total=2306.3:ws=88MB|9972:CurseForge:cpu_total=2053.4:ws=56MB|9240:steamwebhelper:cpu_total=1397.2:ws=330MB|9932:Codex:cpu_total=1136.9:ws=442MB"
