timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T22:19:10.2740952+02:00,2,21404,Godot_v4.6.2-stable_win64,174.453,0.000,1025.6,1819.8,36,"19432:StreamDeck:cpu_total=13304.6:ws=62MB|6348:Codex:cpu_total=11477.1:ws=297MB|31148:DisplayFusion:cpu_total=7678.8:ws=105MB|18288:Creative Cloud:cpu_total=5556.2:ws=61MB|23548:LM Studio:cpu_total=2487.4:ws=22MB|9972:CurseForge:cpu_total=2288.8:ws=33MB|9240:steamwebhelper:cpu_total=1532.0:ws=330MB|9932:Codex:cpu_total=1508.0:ws=387MB"
2026-06-25T22:19:12.3479947+02:00,4.1,21404,Godot_v4.6.2-stable_win64,178.547,4.094,1026.0,1820.2,36,"19432:StreamDeck:cpu_total=13304.9:ws=62MB|6348:Codex:cpu_total=11477.8:ws=296MB|31148:DisplayFusion:cpu_total=7678.9:ws=105MB|18288:Creative Cloud:cpu_total=5556.3:ws=61MB|23548:LM Studio:cpu_total=2487.4:ws=22MB|9972:CurseForge:cpu_total=2288.8:ws=33MB|9240:steamwebhelper:cpu_total=1532.0:ws=331MB|9932:Codex:cpu_total=1508.0:ws=388MB"
2026-06-25T22:19:14.4110863+02:00,6.2,21404,Godot_v4.6.2-stable_win64,180.734,2.188,1026.0,1820.2,36,"19432:StreamDeck:cpu_total=13305.3:ws=62MB|6348:Codex:cpu_total=11478.5:ws=303MB|31148:DisplayFusion:cpu_total=7679.1:ws=105MB|18288:Creative Cloud:cpu_total=5556.3:ws=61MB|23548:LM Studio:cpu_total=2487.4:ws=22MB|9972:CurseForge:cpu_total=2288.8:ws=33MB|9240:steamwebhelper:cpu_total=1532.0:ws=326MB|9932:Codex:cpu_total=1508.0:ws=389MB"
2026-06-25T22:19:16.4661195+02:00,8.3,21404,Godot_v4.6.2-stable_win64,182.984,2.250,1026.1,1820.2,36,"19432:StreamDeck:cpu_total=13305.5:ws=62MB|6348:Codex:cpu_total=11479.2:ws=296MB|31148:DisplayFusion:cpu_total=7679.2:ws=105MB|18288:Creative Cloud:cpu_total=5556.4:ws=61MB|23548:LM Studio:cpu_total=2487.4:ws=22MB|9972:CurseForge:cpu_total=2288.9:ws=33MB|9240:steamwebhelper:cpu_total=1532.1:ws=326MB|9932:Codex:cpu_total=1508.5:ws=382MB"
2026-06-25T22:19:18.5329115+02:00,10.3,21404,Godot_v4.6.2-stable_win64,185.250,2.266,1026.1,1820.2,36,"19432:StreamDeck:cpu_total=13305.9:ws=62MB|6348:Codex:cpu_total=11479.8:ws=296MB|31148:DisplayFusion:cpu_total=7679.3:ws=105MB|18288:Creative Cloud:cpu_total=5556.4:ws=61MB|23548:LM Studio:cpu_total=2487.4:ws=22MB|9972:CurseForge:cpu_total=2289.0:ws=33MB|9240:steamwebhelper:cpu_total=1532.1:ws=327MB|9932:Codex:cpu_total=1508.5:ws=382MB"
2026-06-25T22:19:20.5903548+02:00,12.4,21404,Godot_v4.6.2-stable_win64,188.266,3.016,1026.0,1820.2,34,"19432:StreamDeck:cpu_total=13306.3:ws=62MB|6348:Codex:cpu_total=11480.5:ws=297MB|31148:DisplayFusion:cpu_total=7679.5:ws=105MB|18288:Creative Cloud:cpu_total=5556.4:ws=61MB|23548:LM Studio:cpu_total=2487.5:ws=22MB|9972:CurseForge:cpu_total=2289.0:ws=33MB|9240:steamwebhelper:cpu_total=1532.2:ws=327MB|9932:Codex:cpu_total=1508.5:ws=382MB"
2026-06-25T22:19:22.6488528+02:00,14.4,21404,Godot_v4.6.2-stable_win64,190.641,2.375,1026.2,1820.3,34,"19432:StreamDeck:cpu_total=13306.8:ws=62MB|6348:Codex:cpu_total=11481.3:ws=296MB|31148:DisplayFusion:cpu_total=7679.5:ws=105MB|18288:Creative Cloud:cpu_total=5556.6:ws=61MB|23548:LM Studio:cpu_total=2487.5:ws=22MB|9972:CurseForge:cpu_total=2289.1:ws=33MB|9240:steamwebhelper:cpu_total=1532.2:ws=327MB|9932:Codex:cpu_total=1508.5:ws=383MB"
2026-06-25T22:19:24.7067699+02:00,16.5,21404,Godot_v4.6.2-stable_win64,193.078,2.438,1027.0,1821.1,33,"19432:StreamDeck:cpu_total=13307.1:ws=63MB|6348:Codex:cpu_total=11482.1:ws=296MB|31148:DisplayFusion:cpu_total=7679.7:ws=105MB|18288:Creative Cloud:cpu_total=5556.7:ws=61MB|23548:LM Studio:cpu_total=2487.5:ws=22MB|9972:CurseForge:cpu_total=2289.1:ws=33MB|9240:steamwebhelper:cpu_total=1532.2:ws=327MB|9932:Codex:cpu_total=1508.5:ws=383MB"
2026-06-25T22:19:26.7782771+02:00,18.6,21404,Godot_v4.6.2-stable_win64,196.141,3.062,1027.2,1821.3,33,"19432:StreamDeck:cpu_total=13307.2:ws=62MB|6348:Codex:cpu_total=11482.5:ws=297MB|31148:DisplayFusion:cpu_total=7679.8:ws=105MB|18288:Creative Cloud:cpu_total=5556.7:ws=61MB|23548:LM Studio:cpu_total=2487.5:ws=22MB|9972:CurseForge:cpu_total=2289.2:ws=33MB|9240:steamwebhelper:cpu_total=1532.2:ws=327MB|9932:Codex:cpu_total=1508.5:ws=383MB"
2026-06-25T22:19:28.8516542+02:00,20.6,21404,Godot_v4.6.2-stable_win64,198.547,2.406,1027.2,1821.3,33,"19432:StreamDeck:cpu_total=13307.5:ws=62MB|6348:Codex:cpu_total=11483.2:ws=301MB|31148:DisplayFusion:cpu_total=7679.9:ws=105MB|18288:Creative Cloud:cpu_total=5556.7:ws=61MB|23548:LM Studio:cpu_total=2487.5:ws=22MB|9972:CurseForge:cpu_total=2289.2:ws=33MB|9240:steamwebhelper:cpu_total=1532.2:ws=327MB|9932:Codex:cpu_total=1508.5:ws=383MB"
2026-06-25T22:19:30.9098632+02:00,22.7,21404,Godot_v4.6.2-stable_win64,200.656,2.109,1027.2,1821.3,33,"19432:StreamDeck:cpu_total=13307.9:ws=62MB|6348:Codex:cpu_total=11483.8:ws=298MB|31148:DisplayFusion:cpu_total=7680.0:ws=105MB|18288:Creative Cloud:cpu_total=5557.0:ws=61MB|23548:LM Studio:cpu_total=2487.5:ws=22MB|9972:CurseForge:cpu_total=2289.3:ws=33MB|9240:steamwebhelper:cpu_total=1532.2:ws=328MB|9932:Codex:cpu_total=1508.6:ws=385MB"
