timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T21:44:50.6918605+02:00,2,31844,Godot_v4.6.2-stable_win64,125.219,0.000,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12701.2:ws=63MB|6348:Codex:cpu_total=10618.5:ws=294MB|31148:DisplayFusion:cpu_total=7548.0:ws=113MB|18288:Creative Cloud:cpu_total=5500.7:ws=71MB|23548:LM Studio:cpu_total=2459.5:ws=26MB|9972:CurseForge:cpu_total=2248.6:ws=37MB|9240:steamwebhelper:cpu_total=1507.2:ws=337MB|9932:Codex:cpu_total=1392.7:ws=463MB"
2026-06-25T21:44:52.7765417+02:00,4.2,31844,Godot_v4.6.2-stable_win64,125.250,0.031,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12702.2:ws=63MB|6348:Codex:cpu_total=10619.4:ws=290MB|31148:DisplayFusion:cpu_total=7548.2:ws=113MB|18288:Creative Cloud:cpu_total=5500.7:ws=71MB|23548:LM Studio:cpu_total=2459.6:ws=26MB|9972:CurseForge:cpu_total=2248.7:ws=37MB|9240:steamwebhelper:cpu_total=1507.3:ws=337MB|9932:Codex:cpu_total=1392.7:ws=462MB"
2026-06-25T21:44:54.8381420+02:00,6.3,31844,Godot_v4.6.2-stable_win64,125.266,0.016,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12703.1:ws=63MB|6348:Codex:cpu_total=10620.3:ws=301MB|31148:DisplayFusion:cpu_total=7548.3:ws=113MB|18288:Creative Cloud:cpu_total=5500.7:ws=71MB|23548:LM Studio:cpu_total=2459.6:ws=26MB|9972:CurseForge:cpu_total=2248.8:ws=37MB|9240:steamwebhelper:cpu_total=1507.3:ws=337MB|9932:Codex:cpu_total=1392.8:ws=462MB"
2026-06-25T21:44:56.8912105+02:00,8.3,31844,Godot_v4.6.2-stable_win64,125.297,0.031,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12704.3:ws=63MB|6348:Codex:cpu_total=10621.5:ws=291MB|31148:DisplayFusion:cpu_total=7548.5:ws=113MB|18288:Creative Cloud:cpu_total=5500.8:ws=71MB|23548:LM Studio:cpu_total=2459.6:ws=26MB|9972:CurseForge:cpu_total=2248.8:ws=37MB|9240:steamwebhelper:cpu_total=1507.3:ws=337MB|9932:Codex:cpu_total=1393.1:ws=458MB"
2026-06-25T21:44:58.9419200+02:00,10.4,31844,Godot_v4.6.2-stable_win64,125.344,0.047,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12705.1:ws=63MB|6348:Codex:cpu_total=10622.5:ws=291MB|31148:DisplayFusion:cpu_total=7548.5:ws=113MB|18288:Creative Cloud:cpu_total=5500.9:ws=71MB|23548:LM Studio:cpu_total=2459.6:ws=26MB|9972:CurseForge:cpu_total=2248.9:ws=37MB|9240:steamwebhelper:cpu_total=1507.3:ws=337MB|9932:Codex:cpu_total=1393.1:ws=458MB"
2026-06-25T21:45:00.9832421+02:00,12.4,31844,Godot_v4.6.2-stable_win64,125.344,0.000,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12706.0:ws=63MB|6348:Codex:cpu_total=10623.2:ws=290MB|31148:DisplayFusion:cpu_total=7548.7:ws=113MB|18288:Creative Cloud:cpu_total=5500.9:ws=71MB|23548:LM Studio:cpu_total=2459.6:ws=26MB|9972:CurseForge:cpu_total=2249.0:ws=37MB|9240:steamwebhelper:cpu_total=1507.3:ws=337MB|9932:Codex:cpu_total=1393.1:ws=456MB"
2026-06-25T21:45:03.0394591+02:00,14.5,31844,Godot_v4.6.2-stable_win64,125.375,0.031,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12706.9:ws=63MB|6348:Codex:cpu_total=10624.0:ws=292MB|31148:DisplayFusion:cpu_total=7548.8:ws=113MB|18288:Creative Cloud:cpu_total=5500.9:ws=71MB|23548:LM Studio:cpu_total=2459.6:ws=26MB|9972:CurseForge:cpu_total=2249.0:ws=37MB|9240:steamwebhelper:cpu_total=1507.3:ws=337MB|9932:Codex:cpu_total=1393.1:ws=458MB"
2026-06-25T21:45:05.0992070+02:00,16.5,31844,Godot_v4.6.2-stable_win64,125.422,0.047,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12707.8:ws=63MB|6348:Codex:cpu_total=10624.9:ws=290MB|31148:DisplayFusion:cpu_total=7548.9:ws=113MB|18288:Creative Cloud:cpu_total=5501.0:ws=71MB|23548:LM Studio:cpu_total=2459.6:ws=26MB|9972:CurseForge:cpu_total=2249.0:ws=37MB|9240:steamwebhelper:cpu_total=1507.3:ws=337MB|9932:Codex:cpu_total=1393.1:ws=456MB"
2026-06-25T21:45:07.1551633+02:00,18.6,31844,Godot_v4.6.2-stable_win64,125.500,0.078,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12709.0:ws=63MB|6348:Codex:cpu_total=10625.8:ws=289MB|31148:DisplayFusion:cpu_total=7549.1:ws=113MB|18288:Creative Cloud:cpu_total=5501.0:ws=71MB|23548:LM Studio:cpu_total=2459.6:ws=26MB|9972:CurseForge:cpu_total=2249.1:ws=37MB|9240:steamwebhelper:cpu_total=1507.3:ws=337MB|9932:Codex:cpu_total=1393.1:ws=456MB"
2026-06-25T21:45:09.2201492+02:00,20.6,31844,Godot_v4.6.2-stable_win64,125.516,0.016,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12710.0:ws=63MB|6348:Codex:cpu_total=10626.8:ws=298MB|31148:DisplayFusion:cpu_total=7549.2:ws=113MB|18288:Creative Cloud:cpu_total=5501.1:ws=71MB|23548:LM Studio:cpu_total=2459.7:ws=26MB|9972:CurseForge:cpu_total=2249.2:ws=37MB|9240:steamwebhelper:cpu_total=1507.4:ws=337MB|9932:Codex:cpu_total=1393.1:ws=456MB"
2026-06-25T21:45:11.2726023+02:00,22.7,31844,Godot_v4.6.2-stable_win64,125.531,0.016,929.1,3419.9,28,"19432:StreamDeck:cpu_total=12711.3:ws=63MB|6348:Codex:cpu_total=10627.8:ws=295MB|31148:DisplayFusion:cpu_total=7549.3:ws=113MB|18288:Creative Cloud:cpu_total=5501.4:ws=71MB|23548:LM Studio:cpu_total=2459.8:ws=26MB|9972:CurseForge:cpu_total=2249.2:ws=37MB|9240:steamwebhelper:cpu_total=1507.5:ws=337MB|9932:Codex:cpu_total=1393.2:ws=456MB"
