timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T19:19:25.6637962+02:00,2,19552,Godot_v4.6.2-stable_win64,1.891,0.000,474.4,484.8,30,"19432:StreamDeck:cpu_total=8860.6:ws=74MB|31148:DisplayFusion:cpu_total=7049.2:ws=148MB|6348:Codex:cpu_total=6641.7:ws=294MB|18288:Creative Cloud:cpu_total=5253.7:ws=342MB|23548:LM Studio:cpu_total=2344.6:ws=84MB|9972:CurseForge:cpu_total=2095.2:ws=49MB|9240:steamwebhelper:cpu_total=1425.2:ws=358MB|9932:Codex:cpu_total=1182.5:ws=405MB"
2026-06-25T19:19:27.7400201+02:00,4.1,19552,Godot_v4.6.2-stable_win64,3.766,1.875,560.3,764.6,31,"19432:StreamDeck:cpu_total=8861.6:ws=74MB|31148:DisplayFusion:cpu_total=7049.3:ws=148MB|6348:Codex:cpu_total=6642.6:ws=295MB|18288:Creative Cloud:cpu_total=5253.8:ws=342MB|23548:LM Studio:cpu_total=2344.6:ws=84MB|9972:CurseForge:cpu_total=2095.3:ws=49MB|9240:steamwebhelper:cpu_total=1425.2:ws=358MB|9932:Codex:cpu_total=1182.5:ws=405MB"
2026-06-25T19:19:29.7907239+02:00,6.2,19552,Godot_v4.6.2-stable_win64,5.406,1.641,612.7,856.1,32,"19432:StreamDeck:cpu_total=8862.7:ws=74MB|31148:DisplayFusion:cpu_total=7049.4:ws=148MB|6348:Codex:cpu_total=6643.9:ws=299MB|18288:Creative Cloud:cpu_total=5253.8:ws=342MB|23548:LM Studio:cpu_total=2344.6:ws=84MB|9972:CurseForge:cpu_total=2095.3:ws=49MB|9240:steamwebhelper:cpu_total=1425.2:ws=358MB|9932:Codex:cpu_total=1182.8:ws=416MB"
2026-06-25T19:19:31.8488653+02:00,8.2,19552,Godot_v4.6.2-stable_win64,7.922,2.516,702.0,1200.7,32,"19432:StreamDeck:cpu_total=8863.6:ws=74MB|31148:DisplayFusion:cpu_total=7049.4:ws=148MB|6348:Codex:cpu_total=6644.9:ws=278MB|18288:Creative Cloud:cpu_total=5253.8:ws=342MB|23548:LM Studio:cpu_total=2344.7:ws=84MB|9972:CurseForge:cpu_total=2095.4:ws=49MB|9240:steamwebhelper:cpu_total=1425.2:ws=358MB|9932:Codex:cpu_total=1183.0:ws=416MB"
2026-06-25T19:19:33.8975029+02:00,10.3,19552,Godot_v4.6.2-stable_win64,9.953,2.031,706.1,1204.9,32,"19432:StreamDeck:cpu_total=8864.7:ws=74MB|31148:DisplayFusion:cpu_total=7049.6:ws=148MB|6348:Codex:cpu_total=6645.7:ws=276MB|18288:Creative Cloud:cpu_total=5253.8:ws=342MB|23548:LM Studio:cpu_total=2344.7:ws=84MB|9972:CurseForge:cpu_total=2095.4:ws=49MB|9240:steamwebhelper:cpu_total=1425.2:ws=358MB|9932:Codex:cpu_total=1183.0:ws=412MB"
2026-06-25T19:19:35.9465995+02:00,12.3,19552,Godot_v4.6.2-stable_win64,12.031,2.078,706.1,1204.9,32,"19432:StreamDeck:cpu_total=8865.6:ws=74MB|31148:DisplayFusion:cpu_total=7049.6:ws=148MB|6348:Codex:cpu_total=6646.5:ws=276MB|18288:Creative Cloud:cpu_total=5254.1:ws=342MB|23548:LM Studio:cpu_total=2344.7:ws=84MB|9972:CurseForge:cpu_total=2095.4:ws=49MB|9240:steamwebhelper:cpu_total=1425.2:ws=358MB|9932:Codex:cpu_total=1183.0:ws=412MB"
2026-06-25T19:19:38.0002684+02:00,14.4,19552,Godot_v4.6.2-stable_win64,14.094,2.062,714.4,1213.2,32,"19432:StreamDeck:cpu_total=8866.5:ws=74MB|31148:DisplayFusion:cpu_total=7049.8:ws=148MB|6348:Codex:cpu_total=6647.7:ws=276MB|18288:Creative Cloud:cpu_total=5254.1:ws=342MB|23548:LM Studio:cpu_total=2344.7:ws=84MB|9972:CurseForge:cpu_total=2095.5:ws=49MB|9240:steamwebhelper:cpu_total=1425.2:ws=358MB|9932:Codex:cpu_total=1183.4:ws=337MB"
2026-06-25T19:19:40.0666989+02:00,16.4,19552,Godot_v4.6.2-stable_win64,16.125,2.031,714.4,1213.2,32,"19432:StreamDeck:cpu_total=8867.7:ws=74MB|31148:DisplayFusion:cpu_total=7049.8:ws=148MB|6348:Codex:cpu_total=6648.8:ws=277MB|18288:Creative Cloud:cpu_total=5254.1:ws=342MB|23548:LM Studio:cpu_total=2344.7:ws=84MB|9972:CurseForge:cpu_total=2095.5:ws=49MB|9240:steamwebhelper:cpu_total=1425.2:ws=358MB|9932:Codex:cpu_total=1183.4:ws=338MB"
2026-06-25T19:19:42.1166090+02:00,18.5,19552,Godot_v4.6.2-stable_win64,18.172,2.047,716.5,1215.3,32,"19432:StreamDeck:cpu_total=8868.7:ws=74MB|31148:DisplayFusion:cpu_total=7049.9:ws=148MB|6348:Codex:cpu_total=6649.9:ws=301MB|18288:Creative Cloud:cpu_total=5254.1:ws=342MB|23548:LM Studio:cpu_total=2345.0:ws=84MB|9972:CurseForge:cpu_total=2095.6:ws=49MB|9240:steamwebhelper:cpu_total=1425.3:ws=358MB|9932:Codex:cpu_total=1183.5:ws=336MB"
2026-06-25T19:19:44.1673962+02:00,20.6,19552,Godot_v4.6.2-stable_win64,20.234,2.062,769.9,1270.5,32,"19432:StreamDeck:cpu_total=8869.5:ws=74MB|31148:DisplayFusion:cpu_total=7050.0:ws=148MB|6348:Codex:cpu_total=6650.9:ws=299MB|18288:Creative Cloud:cpu_total=5254.3:ws=342MB|23548:LM Studio:cpu_total=2345.0:ws=84MB|9972:CurseForge:cpu_total=2095.6:ws=49MB|9240:steamwebhelper:cpu_total=1425.3:ws=358MB|9932:Codex:cpu_total=1183.5:ws=338MB"
2026-06-25T19:19:46.2067523+02:00,22.6,19552,Godot_v4.6.2-stable_win64,22.297,2.062,914.1,1419.2,32,"19432:StreamDeck:cpu_total=8870.6:ws=74MB|31148:DisplayFusion:cpu_total=7050.1:ws=148MB|6348:Codex:cpu_total=6651.8:ws=294MB|18288:Creative Cloud:cpu_total=5254.4:ws=342MB|23548:LM Studio:cpu_total=2345.0:ws=84MB|9972:CurseForge:cpu_total=2095.6:ws=49MB|9240:steamwebhelper:cpu_total=1425.4:ws=358MB|9932:Codex:cpu_total=1183.5:ws=337MB"
