timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T18:02:34.4028390+02:00,24.7,45616,Godot_v4.6.2-stable_win64,28.031,5.031,760.9,1545.7,33,"19432:StreamDeck:cpu_total=8192.4:ws=85MB|31148:DisplayFusion:cpu_total=6871.2:ws=152MB|6348:Codex:cpu_total=6033.1:ws=309MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2295.8:ws=88MB|9972:CurseForge:cpu_total=2040.5:ws=56MB|9240:steamwebhelper:cpu_total=1389.3:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:36.4522528+02:00,26.7,45616,Godot_v4.6.2-stable_win64,33.422,5.359,791.4,1576.3,33,"19432:StreamDeck:cpu_total=8193.3:ws=85MB|31148:DisplayFusion:cpu_total=6871.3:ws=152MB|6348:Codex:cpu_total=6033.9:ws=302MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2296.1:ws=88MB|9972:CurseForge:cpu_total=2040.6:ws=56MB|9240:steamwebhelper:cpu_total=1389.3:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:38.5079959+02:00,28.8,45616,Godot_v4.6.2-stable_win64,37.953,4.547,816.2,1601.2,33,"19432:StreamDeck:cpu_total=8194.1:ws=85MB|31148:DisplayFusion:cpu_total=6871.4:ws=152MB|6348:Codex:cpu_total=6034.9:ws=310MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2296.1:ws=88MB|9972:CurseForge:cpu_total=2040.6:ws=56MB|9240:steamwebhelper:cpu_total=1389.3:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:40.5833584+02:00,30.8,45616,Godot_v4.6.2-stable_win64,42.609,4.656,838.8,1623.7,33,"19432:StreamDeck:cpu_total=8195.1:ws=85MB|31148:DisplayFusion:cpu_total=6871.5:ws=152MB|6348:Codex:cpu_total=6035.5:ws=303MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2296.1:ws=88MB|9972:CurseForge:cpu_total=2040.7:ws=56MB|9240:steamwebhelper:cpu_total=1389.3:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:42.6380858+02:00,32.9,45616,Godot_v4.6.2-stable_win64,47.063,4.453,861.7,1646.6,33,"19432:StreamDeck:cpu_total=8196.1:ws=85MB|31148:DisplayFusion:cpu_total=6871.6:ws=152MB|6348:Codex:cpu_total=6036.4:ws=285MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2296.1:ws=88MB|9972:CurseForge:cpu_total=2040.7:ws=56MB|9240:steamwebhelper:cpu_total=1389.4:ws=345MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:44.7182170+02:00,35,45616,Godot_v4.6.2-stable_win64,49.781,2.719,868.7,1653.6,33,"19432:StreamDeck:cpu_total=8196.9:ws=85MB|31148:DisplayFusion:cpu_total=6871.8:ws=152MB|6348:Codex:cpu_total=6037.5:ws=302MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2296.1:ws=88MB|9972:CurseForge:cpu_total=2040.8:ws=56MB|9240:steamwebhelper:cpu_total=1389.4:ws=344MB|6392:codex:cpu_total=1055.5:ws=144MB"
2026-06-25T18:02:46.7658869+02:00,37,45616,Godot_v4.6.2-stable_win64,51.891,2.109,868.8,1653.6,33,"19432:StreamDeck:cpu_total=8197.6:ws=85MB|31148:DisplayFusion:cpu_total=6871.8:ws=152MB|6348:Codex:cpu_total=6038.4:ws=303MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2296.1:ws=88MB|9972:CurseForge:cpu_total=2040.8:ws=56MB|9240:steamwebhelper:cpu_total=1389.4:ws=344MB|6392:codex:cpu_total=1055.6:ws=144MB"
2026-06-25T18:02:48.8152316+02:00,39.1,45616,Godot_v4.6.2-stable_win64,53.969,2.078,868.8,1653.6,33,"19432:StreamDeck:cpu_total=8198.1:ws=85MB|31148:DisplayFusion:cpu_total=6871.9:ws=152MB|6348:Codex:cpu_total=6039.4:ws=310MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2296.1:ws=88MB|9972:CurseForge:cpu_total=2040.9:ws=56MB|9240:steamwebhelper:cpu_total=1389.4:ws=344MB|6392:codex:cpu_total=1055.6:ws=143MB"
2026-06-25T18:02:50.8655151+02:00,41.1,45616,Godot_v4.6.2-stable_win64,56.047,2.078,868.8,1653.6,33,"19432:StreamDeck:cpu_total=8199.0:ws=85MB|31148:DisplayFusion:cpu_total=6872.1:ws=152MB|6348:Codex:cpu_total=6040.1:ws=307MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2296.2:ws=88MB|9972:CurseForge:cpu_total=2040.9:ws=56MB|9240:steamwebhelper:cpu_total=1389.4:ws=344MB|6392:codex:cpu_total=1055.6:ws=143MB"
2026-06-25T18:02:52.9156856+02:00,43.2,45616,Godot_v4.6.2-stable_win64,58.359,2.312,868.8,1653.6,33,"19432:StreamDeck:cpu_total=8200.0:ws=85MB|31148:DisplayFusion:cpu_total=6872.2:ws=152MB|6348:Codex:cpu_total=6041.2:ws=302MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2296.2:ws=88MB|9972:CurseForge:cpu_total=2041.0:ws=56MB|9240:steamwebhelper:cpu_total=1389.4:ws=344MB|6392:codex:cpu_total=1055.6:ws=143MB"
