timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T22:00:53.6517067+02:00,2,31844,Godot_v4.6.2-stable_win64,140.109,0.000,520.6,3425.1,31,"19432:StreamDeck:cpu_total=13124.1:ws=62MB|6348:Codex:cpu_total=11065.2:ws=309MB|31148:DisplayFusion:cpu_total=7610.9:ws=109MB|18288:Creative Cloud:cpu_total=5525.9:ws=69MB|23548:LM Studio:cpu_total=2472.0:ws=26MB|9972:CurseForge:cpu_total=2267.9:ws=37MB|9240:steamwebhelper:cpu_total=1517.9:ws=332MB|9932:Codex:cpu_total=1470.0:ws=449MB"
2026-06-25T22:00:55.7385781+02:00,4.1,31844,Godot_v4.6.2-stable_win64,140.125,0.016,520.6,3425.1,31,"19432:StreamDeck:cpu_total=13124.4:ws=61MB|6348:Codex:cpu_total=11066.5:ws=304MB|31148:DisplayFusion:cpu_total=7611.1:ws=109MB|18288:Creative Cloud:cpu_total=5525.9:ws=69MB|23548:LM Studio:cpu_total=2472.2:ws=26MB|9972:CurseForge:cpu_total=2268.0:ws=37MB|9240:steamwebhelper:cpu_total=1517.9:ws=332MB|9932:Codex:cpu_total=1470.1:ws=438MB"
2026-06-25T22:00:57.8088202+02:00,6.2,31844,Godot_v4.6.2-stable_win64,140.125,0.000,520.6,3425.1,31,"19432:StreamDeck:cpu_total=13124.9:ws=61MB|6348:Codex:cpu_total=11067.5:ws=312MB|31148:DisplayFusion:cpu_total=7611.2:ws=109MB|18288:Creative Cloud:cpu_total=5526.0:ws=69MB|23548:LM Studio:cpu_total=2472.2:ws=26MB|9972:CurseForge:cpu_total=2268.1:ws=37MB|9240:steamwebhelper:cpu_total=1517.9:ws=332MB|9932:Codex:cpu_total=1470.1:ws=438MB"
2026-06-25T22:00:59.8748843+02:00,8.3,31844,Godot_v4.6.2-stable_win64,140.125,0.000,520.6,3425.1,31,"19432:StreamDeck:cpu_total=13125.6:ws=61MB|6348:Codex:cpu_total=11068.9:ws=305MB|31148:DisplayFusion:cpu_total=7611.3:ws=109MB|18288:Creative Cloud:cpu_total=5526.2:ws=69MB|23548:LM Studio:cpu_total=2472.2:ws=26MB|9972:CurseForge:cpu_total=2268.2:ws=37MB|9240:steamwebhelper:cpu_total=1518.0:ws=332MB|9932:Codex:cpu_total=1470.3:ws=438MB"
2026-06-25T22:01:01.9429227+02:00,10.3,31844,Godot_v4.6.2-stable_win64,140.156,0.031,520.6,3425.1,31,"19432:StreamDeck:cpu_total=13125.9:ws=61MB|6348:Codex:cpu_total=11070.1:ws=304MB|31148:DisplayFusion:cpu_total=7611.5:ws=109MB|18288:Creative Cloud:cpu_total=5526.2:ws=69MB|23548:LM Studio:cpu_total=2472.3:ws=26MB|9972:CurseForge:cpu_total=2268.2:ws=37MB|9240:steamwebhelper:cpu_total=1518.0:ws=332MB|9932:Codex:cpu_total=1470.4:ws=438MB"
2026-06-25T22:01:04.0019893+02:00,12.4,31844,Godot_v4.6.2-stable_win64,140.172,0.016,520.6,3425.1,31,"19432:StreamDeck:cpu_total=13126.4:ws=61MB|6348:Codex:cpu_total=11071.2:ws=304MB|31148:DisplayFusion:cpu_total=7611.5:ws=109MB|18288:Creative Cloud:cpu_total=5526.2:ws=69MB|23548:LM Studio:cpu_total=2472.3:ws=26MB|9972:CurseForge:cpu_total=2268.3:ws=37MB|9240:steamwebhelper:cpu_total=1518.4:ws=333MB|9932:Codex:cpu_total=1470.4:ws=437MB"
2026-06-25T22:01:06.0583876+02:00,14.4,31844,Godot_v4.6.2-stable_win64,140.172,0.000,520.6,3425.1,31,"19432:StreamDeck:cpu_total=13126.8:ws=61MB|6348:Codex:cpu_total=11072.4:ws=304MB|31148:DisplayFusion:cpu_total=7611.7:ws=109MB|18288:Creative Cloud:cpu_total=5526.3:ws=69MB|23548:LM Studio:cpu_total=2472.3:ws=26MB|9972:CurseForge:cpu_total=2268.3:ws=36MB|9240:steamwebhelper:cpu_total=1518.4:ws=332MB|9932:Codex:cpu_total=1470.4:ws=438MB"
2026-06-25T22:01:08.1109505+02:00,16.5,31844,Godot_v4.6.2-stable_win64,140.188,0.016,520.6,3425.1,31,"19432:StreamDeck:cpu_total=13127.3:ws=62MB|6348:Codex:cpu_total=11073.6:ws=303MB|31148:DisplayFusion:cpu_total=7611.8:ws=109MB|18288:Creative Cloud:cpu_total=5526.3:ws=69MB|23548:LM Studio:cpu_total=2472.3:ws=26MB|9972:CurseForge:cpu_total=2268.4:ws=36MB|9240:steamwebhelper:cpu_total=1518.4:ws=332MB|9932:Codex:cpu_total=1470.9:ws=442MB"
2026-06-25T22:01:10.1807281+02:00,18.6,31844,Godot_v4.6.2-stable_win64,140.188,0.000,520.6,3425.1,31,"19432:StreamDeck:cpu_total=13127.8:ws=61MB|6348:Codex:cpu_total=11074.6:ws=303MB|31148:DisplayFusion:cpu_total=7611.9:ws=109MB|18288:Creative Cloud:cpu_total=5526.5:ws=69MB|23548:LM Studio:cpu_total=2472.3:ws=26MB|9972:CurseForge:cpu_total=2268.5:ws=36MB|9240:steamwebhelper:cpu_total=1518.4:ws=332MB|9932:Codex:cpu_total=1470.9:ws=442MB"
2026-06-25T22:01:12.2258907+02:00,20.6,31844,Godot_v4.6.2-stable_win64,140.203,0.016,520.6,3425.1,31,"19432:StreamDeck:cpu_total=13128.3:ws=61MB|6348:Codex:cpu_total=11075.7:ws=311MB|31148:DisplayFusion:cpu_total=7612.1:ws=109MB|18288:Creative Cloud:cpu_total=5526.5:ws=69MB|23548:LM Studio:cpu_total=2472.3:ws=26MB|9972:CurseForge:cpu_total=2268.5:ws=36MB|9240:steamwebhelper:cpu_total=1518.5:ws=332MB|9932:Codex:cpu_total=1471.0:ws=441MB"
