timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T18:05:49.0485776+02:00,2,22720,Godot_v4.6.2-stable_win64,1.906,0.000,475.2,485.7,30,"19432:StreamDeck:cpu_total=8282.6:ws=85MB|31148:DisplayFusion:cpu_total=6880.6:ws=152MB|6348:Codex:cpu_total=6128.9:ws=306MB|18288:Creative Cloud:cpu_total=5020.4:ws=313MB|23548:LM Studio:cpu_total=2298.8:ws=88MB|9972:CurseForge:cpu_total=2044.3:ws=56MB|9240:steamwebhelper:cpu_total=1391.1:ws=344MB|9932:Codex:cpu_total=1072.0:ws=427MB"
2026-06-25T18:05:51.1280843+02:00,4.1,22720,Godot_v4.6.2-stable_win64,3.828,1.922,558.5,763.3,31,"19432:StreamDeck:cpu_total=8284.4:ws=85MB|31148:DisplayFusion:cpu_total=6880.7:ws=152MB|6348:Codex:cpu_total=6129.8:ws=306MB|18288:Creative Cloud:cpu_total=5020.4:ws=313MB|23548:LM Studio:cpu_total=2299.0:ws=88MB|9972:CurseForge:cpu_total=2044.4:ws=56MB|9240:steamwebhelper:cpu_total=1391.1:ws=344MB|9932:Codex:cpu_total=1072.1:ws=427MB"
2026-06-25T18:05:53.1697388+02:00,6.2,22720,Godot_v4.6.2-stable_win64,5.609,1.781,613.6,1113.7,32,"19432:StreamDeck:cpu_total=8286.2:ws=85MB|31148:DisplayFusion:cpu_total=6880.8:ws=152MB|6348:Codex:cpu_total=6130.7:ws=315MB|18288:Creative Cloud:cpu_total=5020.4:ws=313MB|23548:LM Studio:cpu_total=2299.0:ws=88MB|9972:CurseForge:cpu_total=2044.5:ws=56MB|9240:steamwebhelper:cpu_total=1391.1:ws=344MB|9932:Codex:cpu_total=1072.9:ws=349MB"
2026-06-25T18:05:55.2309171+02:00,8.2,22720,Godot_v4.6.2-stable_win64,8.156,2.547,700.9,1199.7,32,"19432:StreamDeck:cpu_total=8287.0:ws=85MB|31148:DisplayFusion:cpu_total=6880.8:ws=152MB|6348:Codex:cpu_total=6131.4:ws=312MB|18288:Creative Cloud:cpu_total=5020.4:ws=313MB|23548:LM Studio:cpu_total=2299.0:ws=88MB|9972:CurseForge:cpu_total=2044.5:ws=56MB|9240:steamwebhelper:cpu_total=1391.1:ws=344MB|9932:Codex:cpu_total=1073.0:ws=362MB"
2026-06-25T18:05:57.2718477+02:00,10.3,22720,Godot_v4.6.2-stable_win64,10.219,2.062,705.0,1203.8,32,"19432:StreamDeck:cpu_total=8287.5:ws=85MB|31148:DisplayFusion:cpu_total=6880.9:ws=152MB|6348:Codex:cpu_total=6132.4:ws=306MB|18288:Creative Cloud:cpu_total=5020.4:ws=313MB|23548:LM Studio:cpu_total=2299.0:ws=88MB|9972:CurseForge:cpu_total=2044.5:ws=56MB|9240:steamwebhelper:cpu_total=1391.1:ws=344MB|9932:Codex:cpu_total=1073.3:ws=364MB"
2026-06-25T18:05:59.3317566+02:00,12.3,22720,Godot_v4.6.2-stable_win64,12.281,2.062,705.0,1203.8,32,"19432:StreamDeck:cpu_total=8288.5:ws=85MB|31148:DisplayFusion:cpu_total=6881.0:ws=152MB|6348:Codex:cpu_total=6133.5:ws=306MB|18288:Creative Cloud:cpu_total=5020.4:ws=313MB|23548:LM Studio:cpu_total=2299.0:ws=88MB|9972:CurseForge:cpu_total=2044.5:ws=56MB|9240:steamwebhelper:cpu_total=1391.1:ws=344MB|9932:Codex:cpu_total=1073.3:ws=361MB"
2026-06-25T18:06:01.3754826+02:00,14.4,22720,Godot_v4.6.2-stable_win64,14.359,2.078,713.3,1212.1,32,"19432:StreamDeck:cpu_total=8289.6:ws=85MB|31148:DisplayFusion:cpu_total=6881.1:ws=152MB|6348:Codex:cpu_total=6134.5:ws=307MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.2:ws=88MB|9972:CurseForge:cpu_total=2044.5:ws=56MB|9240:steamwebhelper:cpu_total=1391.2:ws=344MB|9932:Codex:cpu_total=1073.4:ws=362MB"
2026-06-25T18:06:03.4248673+02:00,16.4,22720,Godot_v4.6.2-stable_win64,16.391,2.031,713.3,1212.1,32,"19432:StreamDeck:cpu_total=8290.6:ws=85MB|31148:DisplayFusion:cpu_total=6881.2:ws=152MB|6348:Codex:cpu_total=6135.4:ws=308MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.2:ws=88MB|9972:CurseForge:cpu_total=2044.6:ws=56MB|9240:steamwebhelper:cpu_total=1391.2:ws=344MB|9932:Codex:cpu_total=1073.4:ws=361MB"
2026-06-25T18:06:05.4806074+02:00,18.5,22720,Godot_v4.6.2-stable_win64,18.453,2.062,716.0,1215.0,32,"19432:StreamDeck:cpu_total=8291.5:ws=85MB|31148:DisplayFusion:cpu_total=6881.3:ws=152MB|6348:Codex:cpu_total=6136.5:ws=314MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.2:ws=88MB|9972:CurseForge:cpu_total=2044.6:ws=56MB|9240:steamwebhelper:cpu_total=1391.2:ws=344MB|9932:Codex:cpu_total=1073.4:ws=361MB"
2026-06-25T18:06:07.5242948+02:00,20.5,22720,Godot_v4.6.2-stable_win64,20.578,2.125,795.7,1297.2,32,"19432:StreamDeck:cpu_total=8292.6:ws=85MB|31148:DisplayFusion:cpu_total=6881.4:ws=152MB|6348:Codex:cpu_total=6137.5:ws=312MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.3:ws=88MB|9972:CurseForge:cpu_total=2044.7:ws=56MB|9240:steamwebhelper:cpu_total=1391.3:ws=344MB|9932:Codex:cpu_total=1073.5:ws=362MB"
2026-06-25T18:06:09.5766166+02:00,22.6,22720,Godot_v4.6.2-stable_win64,22.688,2.094,736.9,1237.1,32,"19432:StreamDeck:cpu_total=8293.7:ws=85MB|31148:DisplayFusion:cpu_total=6881.6:ws=153MB|6348:Codex:cpu_total=6138.5:ws=307MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.3:ws=88MB|9972:CurseForge:cpu_total=2044.7:ws=56MB|9240:steamwebhelper:cpu_total=1391.3:ws=344MB|9932:Codex:cpu_total=1073.5:ws=363MB"
2026-06-25T18:06:11.6284523+02:00,24.6,22720,Godot_v4.6.2-stable_win64,29.031,6.344,794.3,1574.9,33,"19432:StreamDeck:cpu_total=8294.7:ws=85MB|31148:DisplayFusion:cpu_total=6881.7:ws=152MB|6348:Codex:cpu_total=6139.7:ws=316MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.3:ws=88MB|9972:CurseForge:cpu_total=2044.8:ws=56MB|9240:steamwebhelper:cpu_total=1391.3:ws=344MB|9932:Codex:cpu_total=1073.8:ws=365MB"
2026-06-25T18:06:13.6793883+02:00,26.7,22720,Godot_v4.6.2-stable_win64,35.453,6.422,827.1,1607.6,33,"19432:StreamDeck:cpu_total=8295.7:ws=85MB|31148:DisplayFusion:cpu_total=6881.8:ws=152MB|6348:Codex:cpu_total=6140.8:ws=310MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.3:ws=88MB|9972:CurseForge:cpu_total=2044.8:ws=56MB|9240:steamwebhelper:cpu_total=1391.3:ws=344MB|9932:Codex:cpu_total=1073.9:ws=376MB"
2026-06-25T18:06:15.7226876+02:00,28.7,22720,Godot_v4.6.2-stable_win64,37.547,2.094,827.2,1607.7,33,"19432:StreamDeck:cpu_total=8296.5:ws=85MB|31148:DisplayFusion:cpu_total=6881.9:ws=152MB|6348:Codex:cpu_total=6141.7:ws=310MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.4:ws=88MB|9972:CurseForge:cpu_total=2044.8:ws=56MB|9240:steamwebhelper:cpu_total=1391.3:ws=344MB|9932:Codex:cpu_total=1073.9:ws=375MB"
2026-06-25T18:06:17.7619418+02:00,30.8,22720,Godot_v4.6.2-stable_win64,41.375,3.828,826.8,1606.9,33,"19432:StreamDeck:cpu_total=8297.5:ws=85MB|31148:DisplayFusion:cpu_total=6882.0:ws=152MB|6348:Codex:cpu_total=6142.7:ws=308MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.4:ws=88MB|9972:CurseForge:cpu_total=2044.8:ws=56MB|9240:steamwebhelper:cpu_total=1391.3:ws=344MB|9932:Codex:cpu_total=1074.6:ws=389MB"
2026-06-25T18:06:19.8254037+02:00,32.8,22720,Godot_v4.6.2-stable_win64,45.938,4.562,853.8,1633.6,33,"19432:StreamDeck:cpu_total=8298.4:ws=85MB|31148:DisplayFusion:cpu_total=6882.0:ws=152MB|6348:Codex:cpu_total=6143.5:ws=309MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.4:ws=88MB|9972:CurseForge:cpu_total=2044.9:ws=56MB|9240:steamwebhelper:cpu_total=1391.3:ws=344MB|9932:Codex:cpu_total=1074.8:ws=408MB"
2026-06-25T18:06:21.9103453+02:00,34.9,22720,Godot_v4.6.2-stable_win64,51.906,5.969,881.4,1660.9,33,"19432:StreamDeck:cpu_total=8299.4:ws=85MB|31148:DisplayFusion:cpu_total=6882.1:ws=152MB|6348:Codex:cpu_total=6144.5:ws=315MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.4:ws=88MB|9972:CurseForge:cpu_total=2045.0:ws=56MB|9240:steamwebhelper:cpu_total=1391.3:ws=344MB|9932:Codex:cpu_total=1075.3:ws=416MB"
2026-06-25T18:06:23.9527969+02:00,37,22720,Godot_v4.6.2-stable_win64,57.141,5.219,906.1,1685.6,33,"19432:StreamDeck:cpu_total=8300.3:ws=85MB|31148:DisplayFusion:cpu_total=6882.2:ws=152MB|6348:Codex:cpu_total=6145.4:ws=313MB|18288:Creative Cloud:cpu_total=5020.5:ws=313MB|23548:LM Studio:cpu_total=2299.4:ws=88MB|9972:CurseForge:cpu_total=2045.0:ws=56MB|9240:steamwebhelper:cpu_total=1391.3:ws=344MB|9932:Codex:cpu_total=1075.5:ws=431MB"
