timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T09:48:29.7369091+02:00,2,21492,Godot_v4.6.2-stable_win64,2.031,0.000,485.2,498.7,30,"31148:DisplayFusion:cpu=5;894.0:ws=150MB|19432:StreamDeck:cpu=5;777.6:ws=85MB|18288:Creative Cloud:cpu=4;446.4:ws=314MB|6348:Codex:cpu=4;109.6:ws=279MB|23548:LM Studio:cpu=2;008.1:ws=92MB|9972:CurseForge:cpu=1;711.8:ws=57MB|9240:steamwebhelper:cpu=1;181.8:ws=317MB|6392:codex:cpu=921.8:ws=138MB"
2026-06-25T09:48:31.8111309+02:00,4.1,21492,Godot_v4.6.2-stable_win64,4.016,2.000,563.3,767.7,31,"31148:DisplayFusion:cpu=5;894.1:ws=150MB|19432:StreamDeck:cpu=5;778.2:ws=85MB|18288:Creative Cloud:cpu=4;446.6:ws=314MB|6348:Codex:cpu=4;110.8:ws=278MB|23548:LM Studio:cpu=2;008.1:ws=92MB|9972:CurseForge:cpu=1;711.9:ws=57MB|9240:steamwebhelper:cpu=1;181.9:ws=317MB|6392:codex:cpu=921.8:ws=135MB"
2026-06-25T09:48:33.8574081+02:00,6.2,21492,Godot_v4.6.2-stable_win64,6.516,2.500,689.3,1,189.1,32,"31148:DisplayFusion:cpu=5;894.2:ws=150MB|19432:StreamDeck:cpu=5;778.8:ws=85MB|18288:Creative Cloud:cpu=4;446.6:ws=314MB|6348:Codex:cpu=4;111.7:ws=278MB|23548:LM Studio:cpu=2;008.1:ws=92MB|9972:CurseForge:cpu=1;711.9:ws=57MB|9240:steamwebhelper:cpu=1;181.9:ws=317MB|6392:codex:cpu=922.1:ws=139MB"
2026-06-25T09:48:35.9174690+02:00,8.2,21492,Godot_v4.6.2-stable_win64,8.594,2.078,708.2,1,207.6,32,"31148:DisplayFusion:cpu=5;894.3:ws=150MB|19432:StreamDeck:cpu=5;779.7:ws=85MB|18288:Creative Cloud:cpu=4;446.8:ws=314MB|6348:Codex:cpu=4;112.5:ws=278MB|23548:LM Studio:cpu=2;008.1:ws=92MB|9972:CurseForge:cpu=1;712.0:ws=57MB|9240:steamwebhelper:cpu=1;181.9:ws=317MB|6392:codex:cpu=922.4:ws=136MB"
2026-06-25T09:48:37.9703669+02:00,10.3,21492,Godot_v4.6.2-stable_win64,10.656,2.062,708.2,1,207.6,32,"31148:DisplayFusion:cpu=5;894.3:ws=150MB|19432:StreamDeck:cpu=5;780.4:ws=85MB|18288:Creative Cloud:cpu=4;446.8:ws=314MB|6348:Codex:cpu=4;113.4:ws=278MB|23548:LM Studio:cpu=2;008.1:ws=92MB|9972:CurseForge:cpu=1;712.1:ws=57MB|9240:steamwebhelper:cpu=1;182.0:ws=317MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:48:40.0282426+02:00,12.3,21492,Godot_v4.6.2-stable_win64,12.750,2.094,716.5,1,215.9,32,"31148:DisplayFusion:cpu=5;894.4:ws=150MB|19432:StreamDeck:cpu=5;781.1:ws=85MB|18288:Creative Cloud:cpu=4;446.8:ws=314MB|6348:Codex:cpu=4;114.3:ws=278MB|23548:LM Studio:cpu=2;008.1:ws=92MB|9972:CurseForge:cpu=1;712.1:ws=57MB|9240:steamwebhelper:cpu=1;182.0:ws=317MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:48:42.0760282+02:00,14.4,21492,Godot_v4.6.2-stable_win64,14.813,2.062,716.5,1,215.9,32,"31148:DisplayFusion:cpu=5;894.5:ws=150MB|19432:StreamDeck:cpu=5;781.7:ws=85MB|18288:Creative Cloud:cpu=4;446.8:ws=314MB|6348:Codex:cpu=4;115.0:ws=278MB|23548:LM Studio:cpu=2;008.1:ws=92MB|9972:CurseForge:cpu=1;712.1:ws=57MB|9240:steamwebhelper:cpu=1;182.0:ws=317MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:48:44.1265335+02:00,16.4,21492,Godot_v4.6.2-stable_win64,16.891,2.078,716.5,1,215.9,32,"31148:DisplayFusion:cpu=5;894.6:ws=150MB|19432:StreamDeck:cpu=5;782.0:ws=85MB|18288:Creative Cloud:cpu=4;447.1:ws=314MB|6348:Codex:cpu=4;115.8:ws=278MB|23548:LM Studio:cpu=2;008.2:ws=92MB|9972:CurseForge:cpu=1;712.2:ws=57MB|9240:steamwebhelper:cpu=1;182.0:ws=317MB|6392:codex:cpu=922.4:ws=136MB"
2026-06-25T09:48:46.1726743+02:00,18.5,21492,Godot_v4.6.2-stable_win64,20.297,3.406,739.9,1,526.0,33,"31148:DisplayFusion:cpu=5;894.7:ws=150MB|19432:StreamDeck:cpu=5;782.2:ws=85MB|18288:Creative Cloud:cpu=4;447.1:ws=314MB|6348:Codex:cpu=4;116.6:ws=277MB|23548:LM Studio:cpu=2;008.2:ws=92MB|9972:CurseForge:cpu=1;712.2:ws=57MB|9240:steamwebhelper:cpu=1;182.0:ws=318MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:48:48.2252164+02:00,20.5,21492,Godot_v4.6.2-stable_win64,28.594,8.297,774.0,1,559.9,33,"31148:DisplayFusion:cpu=5;894.8:ws=150MB|19432:StreamDeck:cpu=5;782.6:ws=85MB|18288:Creative Cloud:cpu=4;447.1:ws=314MB|6348:Codex:cpu=4;117.1:ws=276MB|23548:LM Studio:cpu=2;008.2:ws=92MB|9972:CurseForge:cpu=1;712.3:ws=57MB|9240:steamwebhelper:cpu=1;182.0:ws=318MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:48:50.2704696+02:00,22.6,21492,Godot_v4.6.2-stable_win64,34.906,6.312,802.4,1,588.1,33,"31148:DisplayFusion:cpu=5;894.8:ws=150MB|19432:StreamDeck:cpu=5;783.2:ws=85MB|18288:Creative Cloud:cpu=4;447.1:ws=314MB|6348:Codex:cpu=4;117.9:ws=277MB|23548:LM Studio:cpu=2;008.2:ws=92MB|9972:CurseForge:cpu=1;712.3:ws=57MB|9240:steamwebhelper:cpu=1;182.0:ws=318MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:48:52.3221571+02:00,24.6,21492,Godot_v4.6.2-stable_win64,39.375,4.469,807.4,1,593.4,33,"31148:DisplayFusion:cpu=5;894.9:ws=150MB|19432:StreamDeck:cpu=5;783.6:ws=85MB|18288:Creative Cloud:cpu=4;447.4:ws=314MB|6348:Codex:cpu=4;118.7:ws=276MB|23548:LM Studio:cpu=2;008.2:ws=92MB|9972:CurseForge:cpu=1;712.4:ws=57MB|9240:steamwebhelper:cpu=1;182.0:ws=318MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:48:54.3700248+02:00,26.7,21492,Godot_v4.6.2-stable_win64,43.219,3.844,798.9,1,585.8,33,"31148:DisplayFusion:cpu=5;895.0:ws=150MB|19432:StreamDeck:cpu=5;784.0:ws=85MB|18288:Creative Cloud:cpu=4;447.4:ws=314MB|6348:Codex:cpu=4;119.3:ws=277MB|23548:LM Studio:cpu=2;008.2:ws=92MB|9972:CurseForge:cpu=1;712.4:ws=57MB|9240:steamwebhelper:cpu=1;182.0:ws=318MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:48:56.4296738+02:00,28.7,21492,Godot_v4.6.2-stable_win64,47.906,4.688,816.4,1,601.3,33,"31148:DisplayFusion:cpu=5;895.2:ws=150MB|19432:StreamDeck:cpu=5;784.5:ws=85MB|18288:Creative Cloud:cpu=4;447.4:ws=314MB|6348:Codex:cpu=4;120.4:ws=277MB|23548:LM Studio:cpu=2;008.3:ws=92MB|9972:CurseForge:cpu=1;712.5:ws=57MB|9240:steamwebhelper:cpu=1;182.1:ws=318MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:48:58.4732585+02:00,30.8,21492,Godot_v4.6.2-stable_win64,52.359,4.453,839.3,1,624.3,33,"31148:DisplayFusion:cpu=5;895.2:ws=150MB|19432:StreamDeck:cpu=5;784.7:ws=85MB|18288:Creative Cloud:cpu=4;447.4:ws=314MB|6348:Codex:cpu=4;121.0:ws=277MB|23548:LM Studio:cpu=2;008.3:ws=92MB|9972:CurseForge:cpu=1;712.6:ws=57MB|9240:steamwebhelper:cpu=1;182.1:ws=318MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:49:00.5270839+02:00,32.8,21492,Godot_v4.6.2-stable_win64,56.781,4.422,865.4,1,650.3,33,"31148:DisplayFusion:cpu=5;895.4:ws=150MB|19432:StreamDeck:cpu=5;785.3:ws=85MB|18288:Creative Cloud:cpu=4;447.5:ws=314MB|6348:Codex:cpu=4;121.8:ws=277MB|23548:LM Studio:cpu=2;008.3:ws=92MB|9972:CurseForge:cpu=1;712.6:ws=57MB|9240:steamwebhelper:cpu=1;182.1:ws=318MB|6392:codex:cpu=922.4:ws=135MB"
2026-06-25T09:49:02.5832416+02:00,34.9,21492,Godot_v4.6.2-stable_win64,62.125,5.344,891.3,1,676.2,33,"31148:DisplayFusion:cpu=5;895.4:ws=150MB|19432:StreamDeck:cpu=5;785.8:ws=85MB|18288:Creative Cloud:cpu=4;447.6:ws=314MB|6348:Codex:cpu=4;122.3:ws=276MB|23548:LM Studio:cpu=2;008.4:ws=92MB|9972:CurseForge:cpu=1;712.7:ws=57MB|9240:steamwebhelper:cpu=1;182.1:ws=319MB|6392:codex:cpu=922.4:ws=135MB"
