timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T17:54:58.7102855+02:00,2,45700,Godot_v4.6.2-stable_win64,1.828,0.000,511.1,520.5,30,"19432:StreamDeck:cpu_total=7985.3:ws=86MB|31148:DisplayFusion:cpu_total=6843.1:ws=151MB|6348:Codex:cpu_total=5802.5:ws=311MB|18288:Creative Cloud:cpu_total=5015.1:ws=313MB|23548:LM Studio:cpu_total=2290.5:ws=92MB|9972:CurseForge:cpu_total=2030.1:ws=61MB|9240:steamwebhelper:cpu_total=1384.8:ws=346MB|6392:codex:cpu_total=1034.6:ws=146MB"
2026-06-25T17:55:00.7827361+02:00,4.1,45700,Godot_v4.6.2-stable_win64,3.656,1.828,630.4,834.0,31,"19432:StreamDeck:cpu_total=7986.3:ws=86MB|31148:DisplayFusion:cpu_total=6843.2:ws=151MB|6348:Codex:cpu_total=5803.3:ws=310MB|18288:Creative Cloud:cpu_total=5015.1:ws=313MB|23548:LM Studio:cpu_total=2290.5:ws=92MB|9972:CurseForge:cpu_total=2030.2:ws=61MB|9240:steamwebhelper:cpu_total=1384.8:ws=346MB|6392:codex:cpu_total=1034.6:ws=145MB"
2026-06-25T17:55:02.8451191+02:00,6.2,45700,Godot_v4.6.2-stable_win64,5.484,1.828,605.2,848.6,32,"19432:StreamDeck:cpu_total=7987.3:ws=86MB|31148:DisplayFusion:cpu_total=6843.3:ws=151MB|6348:Codex:cpu_total=5804.4:ws=312MB|18288:Creative Cloud:cpu_total=5015.1:ws=313MB|23548:LM Studio:cpu_total=2290.5:ws=92MB|9972:CurseForge:cpu_total=2030.3:ws=61MB|9240:steamwebhelper:cpu_total=1384.8:ws=346MB|6392:codex:cpu_total=1034.6:ws=146MB"
2026-06-25T17:55:04.9080743+02:00,8.3,45700,Godot_v4.6.2-stable_win64,7.828,2.344,698.3,1197.2,32,"19432:StreamDeck:cpu_total=7988.4:ws=86MB|31148:DisplayFusion:cpu_total=6843.5:ws=151MB|6348:Codex:cpu_total=5805.5:ws=313MB|18288:Creative Cloud:cpu_total=5015.1:ws=313MB|23548:LM Studio:cpu_total=2290.7:ws=92MB|9972:CurseForge:cpu_total=2030.3:ws=61MB|9240:steamwebhelper:cpu_total=1384.9:ws=346MB|6392:codex:cpu_total=1034.7:ws=143MB"
2026-06-25T17:55:06.9645144+02:00,10.3,45700,Godot_v4.6.2-stable_win64,9.859,2.031,702.5,1201.3,32,"19432:StreamDeck:cpu_total=7989.5:ws=86MB|31148:DisplayFusion:cpu_total=6843.6:ws=151MB|6348:Codex:cpu_total=5806.6:ws=311MB|18288:Creative Cloud:cpu_total=5015.1:ws=313MB|23548:LM Studio:cpu_total=2290.7:ws=92MB|9972:CurseForge:cpu_total=2030.4:ws=61MB|9240:steamwebhelper:cpu_total=1384.9:ws=346MB|6392:codex:cpu_total=1034.7:ws=142MB"
2026-06-25T17:55:09.0158040+02:00,12.4,45700,Godot_v4.6.2-stable_win64,11.922,2.062,702.5,1201.3,32,"19432:StreamDeck:cpu_total=7990.5:ws=86MB|31148:DisplayFusion:cpu_total=6843.7:ws=151MB|6348:Codex:cpu_total=5807.4:ws=311MB|18288:Creative Cloud:cpu_total=5015.2:ws=313MB|23548:LM Studio:cpu_total=2290.8:ws=92MB|9972:CurseForge:cpu_total=2030.5:ws=61MB|9240:steamwebhelper:cpu_total=1384.9:ws=346MB|6392:codex:cpu_total=1034.7:ws=143MB"
2026-06-25T17:55:11.0618410+02:00,14.4,45700,Godot_v4.6.2-stable_win64,14.000,2.078,710.8,1209.6,32,"19432:StreamDeck:cpu_total=7991.3:ws=86MB|31148:DisplayFusion:cpu_total=6843.8:ws=151MB|6348:Codex:cpu_total=5808.4:ws=311MB|18288:Creative Cloud:cpu_total=5015.2:ws=313MB|23548:LM Studio:cpu_total=2290.8:ws=92MB|9972:CurseForge:cpu_total=2030.5:ws=61MB|9240:steamwebhelper:cpu_total=1384.9:ws=346MB|6392:codex:cpu_total=1034.7:ws=142MB"
2026-06-25T17:55:13.1084476+02:00,16.5,45700,Godot_v4.6.2-stable_win64,16.078,2.078,710.8,1209.6,32,"19432:StreamDeck:cpu_total=7991.7:ws=86MB|31148:DisplayFusion:cpu_total=6843.9:ws=151MB|6348:Codex:cpu_total=5809.4:ws=311MB|18288:Creative Cloud:cpu_total=5015.2:ws=313MB|23548:LM Studio:cpu_total=2290.8:ws=92MB|9972:CurseForge:cpu_total=2030.6:ws=61MB|9240:steamwebhelper:cpu_total=1384.9:ws=346MB|6392:codex:cpu_total=1034.7:ws=142MB"
2026-06-25T17:55:15.1666798+02:00,18.5,45700,Godot_v4.6.2-stable_win64,18.109,2.031,712.8,1211.6,32,"19432:StreamDeck:cpu_total=7992.9:ws=86MB|31148:DisplayFusion:cpu_total=6844.1:ws=151MB|6348:Codex:cpu_total=5810.5:ws=319MB|18288:Creative Cloud:cpu_total=5015.2:ws=313MB|23548:LM Studio:cpu_total=2290.8:ws=92MB|9972:CurseForge:cpu_total=2030.6:ws=61MB|9240:steamwebhelper:cpu_total=1385.0:ws=346MB|6392:codex:cpu_total=1034.7:ws=143MB"
2026-06-25T17:55:17.2211046+02:00,20.6,45700,Godot_v4.6.2-stable_win64,20.172,2.062,756.4,1256.7,32,"19432:StreamDeck:cpu_total=7993.1:ws=86MB|31148:DisplayFusion:cpu_total=6844.2:ws=151MB|6348:Codex:cpu_total=5811.3:ws=316MB|18288:Creative Cloud:cpu_total=5015.2:ws=313MB|23548:LM Studio:cpu_total=2290.8:ws=92MB|9972:CurseForge:cpu_total=2030.7:ws=61MB|9240:steamwebhelper:cpu_total=1385.0:ws=346MB|6392:codex:cpu_total=1034.8:ws=142MB"
