timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T09:40:52.8950950+02:00,24.6,12212,Godot_v4.6.2-stable_win64,39.578,4.141,820.7,1,605.3,33,"31148:DisplayFusion:cpu=5;876.8:ws=150MB|19432:StreamDeck:cpu=5;649.9:ws=85MB|18288:Creative Cloud:cpu=4;431.1:ws=314MB|6348:Codex:cpu=3;909.7:ws=236MB|23548:LM Studio:cpu=2;001.8:ws=92MB|9972:CurseForge:cpu=1;704.4:ws=57MB|9240:steamwebhelper:cpu=1;176.6:ws=357MB|6392:codex:cpu=910.9:ws=136MB"
2026-06-25T09:40:54.9504312+02:00,26.7,12212,Godot_v4.6.2-stable_win64,43.594,4.016,797.8,1,586.4,33,"31148:DisplayFusion:cpu=5;876.9:ws=150MB|19432:StreamDeck:cpu=5;650.3:ws=86MB|18288:Creative Cloud:cpu=4;431.2:ws=314MB|6348:Codex:cpu=3;910.8:ws=236MB|23548:LM Studio:cpu=2;001.8:ws=92MB|9972:CurseForge:cpu=1;704.5:ws=57MB|9240:steamwebhelper:cpu=1;176.7:ws=357MB|6392:codex:cpu=910.9:ws=136MB"
2026-06-25T09:40:57.0076086+02:00,28.7,12212,Godot_v4.6.2-stable_win64,48.281,4.688,821.4,1,605.6,33,"31148:DisplayFusion:cpu=5;877.0:ws=150MB|19432:StreamDeck:cpu=5;651.1:ws=85MB|18288:Creative Cloud:cpu=4;431.2:ws=314MB|6348:Codex:cpu=3;912.0:ws=245MB|23548:LM Studio:cpu=2;001.8:ws=92MB|9972:CurseForge:cpu=1;704.5:ws=57MB|9240:steamwebhelper:cpu=1;176.7:ws=357MB|6392:codex:cpu=910.9:ws=136MB"
2026-06-25T09:40:59.0637175+02:00,30.8,12212,Godot_v4.6.2-stable_win64,52.719,4.438,845.1,1,629.4,33,"31148:DisplayFusion:cpu=5;877.1:ws=150MB|19432:StreamDeck:cpu=5;651.6:ws=85MB|18288:Creative Cloud:cpu=4;431.4:ws=314MB|6348:Codex:cpu=3;913.1:ws=253MB|23548:LM Studio:cpu=2;001.8:ws=92MB|9972:CurseForge:cpu=1;704.6:ws=57MB|9240:steamwebhelper:cpu=1;176.7:ws=357MB|6392:codex:cpu=910.9:ws=137MB"
2026-06-25T09:41:01.1243992+02:00,32.9,12212,Godot_v4.6.2-stable_win64,57.391,4.672,870.5,1,654.9,33,"31148:DisplayFusion:cpu=5;877.2:ws=150MB|19432:StreamDeck:cpu=5;652.3:ws=85MB|18288:Creative Cloud:cpu=4;431.4:ws=314MB|6348:Codex:cpu=3;914.1:ws=253MB|23548:LM Studio:cpu=2;001.8:ws=92MB|9972:CurseForge:cpu=1;704.7:ws=57MB|9240:steamwebhelper:cpu=1;176.7:ws=357MB|6392:codex:cpu=910.9:ws=137MB"
2026-06-25T09:41:03.1722440+02:00,34.9,12212,Godot_v4.6.2-stable_win64,62.703,5.312,895.3,1,679.6,33,"31148:DisplayFusion:cpu=5;877.3:ws=150MB|19432:StreamDeck:cpu=5;653.0:ws=85MB|18288:Creative Cloud:cpu=4;431.4:ws=314MB|6348:Codex:cpu=3;915.2:ws=253MB|23548:LM Studio:cpu=2;001.8:ws=92MB|9972:CurseForge:cpu=1;704.7:ws=57MB|9240:steamwebhelper:cpu=1;176.7:ws=357MB|6392:codex:cpu=910.9:ws=137MB"
2026-06-25T09:41:05.2282274+02:00,37,12212,Godot_v4.6.2-stable_win64,67.328,4.625,919.6,1,704.2,33,"31148:DisplayFusion:cpu=5;877.3:ws=150MB|19432:StreamDeck:cpu=5;653.7:ws=85MB|18288:Creative Cloud:cpu=4;431.5:ws=314MB|6348:Codex:cpu=3;916.2:ws=253MB|23548:LM Studio:cpu=2;001.9:ws=92MB|9972:CurseForge:cpu=1;704.8:ws=57MB|9240:steamwebhelper:cpu=1;176.8:ws=357MB|6392:codex:cpu=910.9:ws=137MB"
2026-06-25T09:41:07.2803941+02:00,39,12212,Godot_v4.6.2-stable_win64,71.859,4.531,943.7,1,728.3,33,"31148:DisplayFusion:cpu=5;877.4:ws=150MB|19432:StreamDeck:cpu=5;654.0:ws=85MB|18288:Creative Cloud:cpu=4;431.5:ws=314MB|6348:Codex:cpu=3;917.2:ws=252MB|23548:LM Studio:cpu=2;001.9:ws=92MB|9972:CurseForge:cpu=1;704.8:ws=57MB|9240:steamwebhelper:cpu=1;176.8:ws=357MB|6392:codex:cpu=910.9:ws=137MB"
2026-06-25T09:41:09.3276188+02:00,41.1,12212,Godot_v4.6.2-stable_win64,74.063,2.203,949.9,1,734.4,33,"31148:DisplayFusion:cpu=5;877.5:ws=150MB|19432:StreamDeck:cpu=5;654.4:ws=85MB|18288:Creative Cloud:cpu=4;431.5:ws=314MB|6348:Codex:cpu=3;918.1:ws=252MB|23548:LM Studio:cpu=2;001.9:ws=92MB|9972:CurseForge:cpu=1;704.9:ws=57MB|9240:steamwebhelper:cpu=1;176.8:ws=357MB|6392:codex:cpu=910.9:ws=137MB"
2026-06-25T09:41:11.3878115+02:00,43.1,12212,Godot_v4.6.2-stable_win64,76.188,2.125,950.0,1,734.4,33,"31148:DisplayFusion:cpu=5;877.6:ws=150MB|19432:StreamDeck:cpu=5;654.8:ws=85MB|18288:Creative Cloud:cpu=4;431.6:ws=314MB|6348:Codex:cpu=3;919.0:ws=252MB|23548:LM Studio:cpu=2;001.9:ws=92MB|9972:CurseForge:cpu=1;705.0:ws=57MB|9240:steamwebhelper:cpu=1;176.8:ws=357MB|6392:codex:cpu=910.9:ws=137MB"
