timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T21:51:58.0788885+02:00,2,31844,Godot_v4.6.2-stable_win64,131.109,0.000,536.5,3420.0,29,"19432:StreamDeck:cpu_total=12898.9:ws=63MB|6348:Codex:cpu_total=10820.5:ws=296MB|31148:DisplayFusion:cpu_total=7577.0:ws=111MB|18288:Creative Cloud:cpu_total=5511.6:ws=69MB|23548:LM Studio:cpu_total=2465.1:ws=26MB|9972:CurseForge:cpu_total=2257.4:ws=37MB|9240:steamwebhelper:cpu_total=1512.5:ws=337MB|9932:Codex:cpu_total=1444.2:ws=474MB"
2026-06-25T21:52:00.1664574+02:00,4.1,31844,Godot_v4.6.2-stable_win64,131.156,0.047,536.5,3420.0,29,"19432:StreamDeck:cpu_total=12900.0:ws=63MB|6348:Codex:cpu_total=10821.3:ws=297MB|31148:DisplayFusion:cpu_total=7577.0:ws=111MB|18288:Creative Cloud:cpu_total=5511.9:ws=69MB|23548:LM Studio:cpu_total=2465.1:ws=26MB|9972:CurseForge:cpu_total=2257.5:ws=37MB|9240:steamwebhelper:cpu_total=1512.5:ws=337MB|9932:Codex:cpu_total=1444.2:ws=472MB"
2026-06-25T21:52:02.2253360+02:00,6.2,31844,Godot_v4.6.2-stable_win64,131.188,0.031,536.5,3420.0,29,"19432:StreamDeck:cpu_total=12901.0:ws=63MB|6348:Codex:cpu_total=10822.6:ws=303MB|31148:DisplayFusion:cpu_total=7577.2:ws=111MB|18288:Creative Cloud:cpu_total=5511.9:ws=69MB|23548:LM Studio:cpu_total=2465.1:ws=26MB|9972:CurseForge:cpu_total=2257.5:ws=37MB|9240:steamwebhelper:cpu_total=1512.5:ws=337MB|9932:Codex:cpu_total=1444.3:ws=473MB"
2026-06-25T21:52:04.2899223+02:00,8.3,31844,Godot_v4.6.2-stable_win64,131.234,0.047,536.5,3419.9,28,"19432:StreamDeck:cpu_total=12901.8:ws=63MB|6348:Codex:cpu_total=10823.7:ws=300MB|31148:DisplayFusion:cpu_total=7577.4:ws=111MB|18288:Creative Cloud:cpu_total=5511.9:ws=69MB|23548:LM Studio:cpu_total=2465.1:ws=26MB|9972:CurseForge:cpu_total=2257.5:ws=37MB|9240:steamwebhelper:cpu_total=1512.5:ws=337MB|9932:Codex:cpu_total=1445.0:ws=481MB"
2026-06-25T21:52:06.3350497+02:00,10.3,31844,Godot_v4.6.2-stable_win64,131.266,0.031,536.5,3419.9,28,"19432:StreamDeck:cpu_total=12902.9:ws=63MB|6348:Codex:cpu_total=10824.8:ws=296MB|31148:DisplayFusion:cpu_total=7577.5:ws=111MB|18288:Creative Cloud:cpu_total=5511.9:ws=69MB|23548:LM Studio:cpu_total=2465.2:ws=26MB|9972:CurseForge:cpu_total=2257.5:ws=37MB|9240:steamwebhelper:cpu_total=1512.5:ws=337MB|9932:Codex:cpu_total=1445.0:ws=481MB"
2026-06-25T21:52:08.4041818+02:00,12.4,31844,Godot_v4.6.2-stable_win64,131.281,0.016,536.5,3419.9,28,"19432:StreamDeck:cpu_total=12903.8:ws=63MB|6348:Codex:cpu_total=10825.6:ws=297MB|31148:DisplayFusion:cpu_total=7577.6:ws=111MB|18288:Creative Cloud:cpu_total=5512.1:ws=69MB|23548:LM Studio:cpu_total=2465.2:ws=26MB|9972:CurseForge:cpu_total=2257.6:ws=37MB|9240:steamwebhelper:cpu_total=1512.5:ws=337MB|9932:Codex:cpu_total=1445.0:ws=479MB"
2026-06-25T21:52:10.4592974+02:00,14.4,31844,Godot_v4.6.2-stable_win64,131.313,0.031,536.5,3419.9,28,"19432:StreamDeck:cpu_total=12904.7:ws=63MB|6348:Codex:cpu_total=10826.5:ws=295MB|31148:DisplayFusion:cpu_total=7577.7:ws=111MB|18288:Creative Cloud:cpu_total=5512.1:ws=69MB|23548:LM Studio:cpu_total=2465.2:ws=26MB|9972:CurseForge:cpu_total=2257.6:ws=37MB|9240:steamwebhelper:cpu_total=1512.5:ws=337MB|9932:Codex:cpu_total=1445.0:ws=479MB"
2026-06-25T21:52:12.5251294+02:00,16.5,31844,Godot_v4.6.2-stable_win64,131.344,0.031,536.5,3419.9,28,"19432:StreamDeck:cpu_total=12905.7:ws=63MB|6348:Codex:cpu_total=10827.4:ws=295MB|31148:DisplayFusion:cpu_total=7577.9:ws=111MB|18288:Creative Cloud:cpu_total=5512.1:ws=69MB|23548:LM Studio:cpu_total=2465.2:ws=26MB|9972:CurseForge:cpu_total=2257.6:ws=37MB|9240:steamwebhelper:cpu_total=1512.5:ws=337MB|9932:Codex:cpu_total=1445.0:ws=479MB"
2026-06-25T21:52:14.5817480+02:00,18.5,31844,Godot_v4.6.2-stable_win64,131.406,0.062,536.5,3419.9,28,"19432:StreamDeck:cpu_total=12906.6:ws=63MB|6348:Codex:cpu_total=10828.3:ws=278MB|31148:DisplayFusion:cpu_total=7578.0:ws=111MB|18288:Creative Cloud:cpu_total=5512.1:ws=69MB|23548:LM Studio:cpu_total=2465.2:ws=26MB|9972:CurseForge:cpu_total=2257.7:ws=37MB|9240:steamwebhelper:cpu_total=1512.6:ws=337MB|9932:Codex:cpu_total=1445.0:ws=479MB"
2026-06-25T21:52:16.6313148+02:00,20.6,31844,Godot_v4.6.2-stable_win64,131.422,0.016,536.5,3419.9,28,"19432:StreamDeck:cpu_total=12907.7:ws=63MB|6348:Codex:cpu_total=10829.5:ws=301MB|31148:DisplayFusion:cpu_total=7578.1:ws=111MB|18288:Creative Cloud:cpu_total=5512.2:ws=69MB|23548:LM Studio:cpu_total=2465.5:ws=26MB|9972:CurseForge:cpu_total=2257.8:ws=37MB|9240:steamwebhelper:cpu_total=1512.7:ws=337MB|9932:Codex:cpu_total=1445.1:ws=479MB"
2026-06-25T21:52:18.7084159+02:00,22.7,31844,Godot_v4.6.2-stable_win64,131.484,0.062,536.5,3419.9,28,"19432:StreamDeck:cpu_total=12908.7:ws=63MB|6348:Codex:cpu_total=10830.3:ws=295MB|31148:DisplayFusion:cpu_total=7578.3:ws=111MB|18288:Creative Cloud:cpu_total=5512.3:ws=69MB|23548:LM Studio:cpu_total=2465.5:ws=26MB|9972:CurseForge:cpu_total=2257.8:ws=37MB|9240:steamwebhelper:cpu_total=1512.7:ws=337MB|9932:Codex:cpu_total=1445.1:ws=479MB"
