timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T17:56:20.2364262+02:00,2,6436,Godot_v4.6.2-stable_win64,1.875,0.000,475.1,486.3,30,"19432:StreamDeck:cpu_total=8035.3:ws=85MB|31148:DisplayFusion:cpu_total=6848.7:ws=151MB|6348:Codex:cpu_total=5843.1:ws=302MB|18288:Creative Cloud:cpu_total=5015.6:ws=313MB|23548:LM Studio:cpu_total=2291.6:ws=88MB|9972:CurseForge:cpu_total=2032.4:ws=56MB|9240:steamwebhelper:cpu_total=1385.5:ws=344MB|6392:codex:cpu_total=1035.9:ws=146MB"
2026-06-25T17:56:22.3009619+02:00,4.1,6436,Godot_v4.6.2-stable_win64,3.734,1.859,559.5,764.7,31,"19432:StreamDeck:cpu_total=8036.3:ws=85MB|31148:DisplayFusion:cpu_total=6848.9:ws=151MB|6348:Codex:cpu_total=5843.9:ws=302MB|18288:Creative Cloud:cpu_total=5015.6:ws=313MB|23548:LM Studio:cpu_total=2291.7:ws=88MB|9972:CurseForge:cpu_total=2032.5:ws=56MB|9240:steamwebhelper:cpu_total=1385.5:ws=344MB|6392:codex:cpu_total=1035.9:ws=146MB"
2026-06-25T17:56:24.3528234+02:00,6.2,6436,Godot_v4.6.2-stable_win64,5.609,1.875,616.8,1117.8,32,"19432:StreamDeck:cpu_total=8037.2:ws=85MB|31148:DisplayFusion:cpu_total=6849.3:ws=153MB|6348:Codex:cpu_total=5845.0:ws=309MB|18288:Creative Cloud:cpu_total=5015.6:ws=313MB|23548:LM Studio:cpu_total=2291.7:ws=88MB|9972:CurseForge:cpu_total=2032.5:ws=56MB|9240:steamwebhelper:cpu_total=1385.6:ws=344MB|6392:codex:cpu_total=1035.9:ws=147MB"
2026-06-25T17:56:26.4016661+02:00,8.2,6436,Godot_v4.6.2-stable_win64,8.156,2.547,702.0,1200.5,32,"19432:StreamDeck:cpu_total=8037.9:ws=85MB|31148:DisplayFusion:cpu_total=6849.9:ws=151MB|6348:Codex:cpu_total=5846.3:ws=306MB|18288:Creative Cloud:cpu_total=5015.6:ws=313MB|23548:LM Studio:cpu_total=2291.7:ws=88MB|9972:CurseForge:cpu_total=2032.6:ws=56MB|9240:steamwebhelper:cpu_total=1385.6:ws=344MB|6392:codex:cpu_total=1036.0:ws=143MB"
2026-06-25T17:56:28.4609951+02:00,10.3,6436,Godot_v4.6.2-stable_win64,10.250,2.094,706.2,1204.7,32,"19432:StreamDeck:cpu_total=8038.8:ws=85MB|31148:DisplayFusion:cpu_total=6850.0:ws=151MB|6348:Codex:cpu_total=5847.3:ws=301MB|18288:Creative Cloud:cpu_total=5015.7:ws=313MB|23548:LM Studio:cpu_total=2291.8:ws=88MB|9972:CurseForge:cpu_total=2032.6:ws=56MB|9240:steamwebhelper:cpu_total=1385.6:ws=344MB|6392:codex:cpu_total=1036.0:ws=143MB"
2026-06-25T17:56:30.5232990+02:00,12.3,6436,Godot_v4.6.2-stable_win64,12.313,2.062,706.2,1204.7,32,"19432:StreamDeck:cpu_total=8039.7:ws=85MB|31148:DisplayFusion:cpu_total=6850.1:ws=151MB|6348:Codex:cpu_total=5848.4:ws=302MB|18288:Creative Cloud:cpu_total=5015.7:ws=313MB|23548:LM Studio:cpu_total=2291.8:ws=88MB|9972:CurseForge:cpu_total=2032.7:ws=56MB|9240:steamwebhelper:cpu_total=1385.6:ws=344MB|6392:codex:cpu_total=1036.0:ws=143MB"
2026-06-25T17:56:32.5804821+02:00,14.4,6436,Godot_v4.6.2-stable_win64,14.359,2.047,714.5,1213.0,32,"19432:StreamDeck:cpu_total=8040.7:ws=85MB|31148:DisplayFusion:cpu_total=6850.2:ws=151MB|6348:Codex:cpu_total=5849.6:ws=301MB|18288:Creative Cloud:cpu_total=5015.7:ws=313MB|23548:LM Studio:cpu_total=2291.8:ws=88MB|9972:CurseForge:cpu_total=2032.7:ws=56MB|9240:steamwebhelper:cpu_total=1385.6:ws=344MB|6392:codex:cpu_total=1036.0:ws=142MB"
2026-06-25T17:56:34.6320196+02:00,16.4,6436,Godot_v4.6.2-stable_win64,16.406,2.047,714.5,1213.0,32,"19432:StreamDeck:cpu_total=8041.6:ws=85MB|31148:DisplayFusion:cpu_total=6850.3:ws=151MB|6348:Codex:cpu_total=5850.7:ws=284MB|18288:Creative Cloud:cpu_total=5015.8:ws=313MB|23548:LM Studio:cpu_total=2291.8:ws=88MB|9972:CurseForge:cpu_total=2032.8:ws=56MB|9240:steamwebhelper:cpu_total=1385.6:ws=344MB|6392:codex:cpu_total=1036.0:ws=142MB"
2026-06-25T17:56:36.7031712+02:00,18.5,6436,Godot_v4.6.2-stable_win64,18.516,2.109,714.5,1213.0,32,"19432:StreamDeck:cpu_total=8042.1:ws=85MB|31148:DisplayFusion:cpu_total=6850.5:ws=151MB|6348:Codex:cpu_total=5851.6:ws=283MB|18288:Creative Cloud:cpu_total=5015.8:ws=313MB|23548:LM Studio:cpu_total=2291.8:ws=88MB|9972:CurseForge:cpu_total=2032.8:ws=56MB|9240:steamwebhelper:cpu_total=1385.7:ws=344MB|6392:codex:cpu_total=1036.0:ws=142MB"
2026-06-25T17:56:38.7479387+02:00,20.6,6436,Godot_v4.6.2-stable_win64,20.531,2.016,740.5,1239.8,32,"19432:StreamDeck:cpu_total=8042.8:ws=85MB|31148:DisplayFusion:cpu_total=6850.5:ws=151MB|6348:Codex:cpu_total=5852.8:ws=305MB|18288:Creative Cloud:cpu_total=5015.8:ws=313MB|23548:LM Studio:cpu_total=2291.8:ws=88MB|9972:CurseForge:cpu_total=2032.9:ws=56MB|9240:steamwebhelper:cpu_total=1385.7:ws=344MB|6392:codex:cpu_total=1036.0:ws=143MB"
