timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T16:31:20.5866693+02:00,2,12140,Godot_v4.6.2-stable_win64,1.938,0.000,482.6,561.6,30,"19432:StreamDeck:cpu_total=6845.5:ws=86MB|31148:DisplayFusion:cpu_total=6652.8:ws=150MB|18288:Creative Cloud:cpu_total=4967.5:ws=314MB|6348:Codex:cpu_total=4501.4:ws=238MB|23548:LM Studio:cpu_total=2237.7:ws=92MB|9972:CurseForge:cpu_total=1960.9:ws=59MB|9240:steamwebhelper:cpu_total=1343.4:ws=344MB|6392:codex:cpu_total=992.1:ws=143MB"
2026-06-25T16:31:22.6648050+02:00,4.1,12140,Godot_v4.6.2-stable_win64,3.797,1.859,559.7,764.0,31,"19432:StreamDeck:cpu_total=6846.3:ws=86MB|31148:DisplayFusion:cpu_total=6652.9:ws=150MB|18288:Creative Cloud:cpu_total=4967.6:ws=314MB|6348:Codex:cpu_total=4502.3:ws=238MB|23548:LM Studio:cpu_total=2237.7:ws=92MB|9972:CurseForge:cpu_total=1961.0:ws=59MB|9240:steamwebhelper:cpu_total=1343.4:ws=344MB|6392:codex:cpu_total=992.1:ws=142MB"
2026-06-25T16:31:24.7241364+02:00,6.2,12140,Godot_v4.6.2-stable_win64,6.016,2.219,682.5,1181.2,32,"19432:StreamDeck:cpu_total=6846.9:ws=86MB|31148:DisplayFusion:cpu_total=6653.0:ws=150MB|18288:Creative Cloud:cpu_total=4967.6:ws=314MB|6348:Codex:cpu_total=4503.3:ws=238MB|23548:LM Studio:cpu_total=2237.7:ws=92MB|9972:CurseForge:cpu_total=1961.0:ws=59MB|9240:steamwebhelper:cpu_total=1343.4:ws=344MB|6392:codex:cpu_total=992.4:ws=146MB"
2026-06-25T16:31:26.7738649+02:00,8.2,12140,Godot_v4.6.2-stable_win64,8.219,2.203,703.4,1202.0,32,"19432:StreamDeck:cpu_total=6847.6:ws=86MB|31148:DisplayFusion:cpu_total=6653.1:ws=150MB|18288:Creative Cloud:cpu_total=4967.7:ws=314MB|6348:Codex:cpu_total=4504.2:ws=238MB|23548:LM Studio:cpu_total=2237.7:ws=92MB|9972:CurseForge:cpu_total=1961.1:ws=59MB|9240:steamwebhelper:cpu_total=1343.5:ws=344MB|6392:codex:cpu_total=992.6:ws=143MB"
2026-06-25T16:31:28.8242757+02:00,10.3,12140,Godot_v4.6.2-stable_win64,10.328,2.109,703.4,1202.0,32,"19432:StreamDeck:cpu_total=6848.6:ws=87MB|31148:DisplayFusion:cpu_total=6653.3:ws=150MB|18288:Creative Cloud:cpu_total=4967.7:ws=314MB|6348:Codex:cpu_total=4505.0:ws=238MB|23548:LM Studio:cpu_total=2237.7:ws=92MB|9972:CurseForge:cpu_total=1961.1:ws=59MB|9240:steamwebhelper:cpu_total=1343.5:ws=344MB|6392:codex:cpu_total=992.7:ws=143MB"
2026-06-25T16:31:30.8813652+02:00,12.3,12140,Godot_v4.6.2-stable_win64,12.438,2.109,711.6,1210.3,32,"19432:StreamDeck:cpu_total=6849.4:ws=86MB|31148:DisplayFusion:cpu_total=6653.3:ws=150MB|18288:Creative Cloud:cpu_total=4967.7:ws=314MB|6348:Codex:cpu_total=4506.0:ws=239MB|23548:LM Studio:cpu_total=2237.7:ws=92MB|9972:CurseForge:cpu_total=1961.2:ws=59MB|9240:steamwebhelper:cpu_total=1343.5:ws=344MB|6392:codex:cpu_total=992.7:ws=143MB"
2026-06-25T16:31:32.9355995+02:00,14.4,12140,Godot_v4.6.2-stable_win64,14.500,2.062,711.6,1210.3,32,"19432:StreamDeck:cpu_total=6850.1:ws=86MB|31148:DisplayFusion:cpu_total=6653.4:ws=150MB|18288:Creative Cloud:cpu_total=4967.7:ws=314MB|6348:Codex:cpu_total=4506.8:ws=239MB|23548:LM Studio:cpu_total=2237.7:ws=92MB|9972:CurseForge:cpu_total=1961.2:ws=59MB|9240:steamwebhelper:cpu_total=1343.5:ws=344MB|6392:codex:cpu_total=992.7:ws=142MB"
2026-06-25T16:31:34.9771779+02:00,16.4,12140,Godot_v4.6.2-stable_win64,16.656,2.156,711.6,1210.3,32,"19432:StreamDeck:cpu_total=6850.6:ws=86MB|31148:DisplayFusion:cpu_total=6653.5:ws=150MB|18288:Creative Cloud:cpu_total=4967.8:ws=314MB|6348:Codex:cpu_total=4507.6:ws=239MB|23548:LM Studio:cpu_total=2237.7:ws=92MB|9972:CurseForge:cpu_total=1961.2:ws=59MB|9240:steamwebhelper:cpu_total=1343.5:ws=344MB|6392:codex:cpu_total=992.7:ws=142MB"
2026-06-25T16:31:37.0425467+02:00,18.5,12140,Godot_v4.6.2-stable_win64,18.766,2.109,735.0,1234.4,32,"19432:StreamDeck:cpu_total=6851.1:ws=86MB|31148:DisplayFusion:cpu_total=6653.6:ws=150MB|18288:Creative Cloud:cpu_total=4967.8:ws=314MB|6348:Codex:cpu_total=4508.7:ws=246MB|23548:LM Studio:cpu_total=2237.8:ws=92MB|9972:CurseForge:cpu_total=1961.3:ws=59MB|9240:steamwebhelper:cpu_total=1343.6:ws=344MB|6392:codex:cpu_total=992.7:ws=142MB"
2026-06-25T16:31:39.0854932+02:00,20.6,12140,Godot_v4.6.2-stable_win64,20.797,2.031,880.2,1384.2,32,"19432:StreamDeck:cpu_total=6851.4:ws=86MB|31148:DisplayFusion:cpu_total=6653.7:ws=150MB|18288:Creative Cloud:cpu_total=4967.8:ws=314MB|6348:Codex:cpu_total=4509.6:ws=248MB|23548:LM Studio:cpu_total=2237.8:ws=92MB|9972:CurseForge:cpu_total=1961.3:ws=59MB|9240:steamwebhelper:cpu_total=1343.6:ws=344MB|6392:codex:cpu_total=992.7:ws=142MB"
2026-06-25T16:31:41.1487727+02:00,22.6,12140,Godot_v4.6.2-stable_win64,24.641,3.844,772.1,1554.8,33,"19432:StreamDeck:cpu_total=6852.1:ws=86MB|31148:DisplayFusion:cpu_total=6653.7:ws=150MB|18288:Creative Cloud:cpu_total=4967.8:ws=314MB|6348:Codex:cpu_total=4510.3:ws=253MB|23548:LM Studio:cpu_total=2237.8:ws=92MB|9972:CurseForge:cpu_total=1961.4:ws=59MB|9240:steamwebhelper:cpu_total=1343.6:ws=344MB|6392:codex:cpu_total=992.7:ws=142MB"
