timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T20:14:15.4855497+02:00,2,31844,Godot_v4.6.2-stable_win64,48.203,0.000,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10417.6:ws=68MB|6348:Codex:cpu_total=8186.6:ws=281MB|31148:DisplayFusion:cpu_total=7218.9:ws=127MB|18288:Creative Cloud:cpu_total=5349.6:ws=230MB|23548:LM Studio:cpu_total=2385.8:ws=58MB|9972:CurseForge:cpu_total=2150.9:ws=46MB|9240:steamwebhelper:cpu_total=1454.6:ws=350MB|9932:Codex:cpu_total=1324.4:ws=455MB"
2026-06-25T20:14:17.5571157+02:00,4.1,31844,Godot_v4.6.2-stable_win64,48.203,0.000,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10418.5:ws=68MB|6348:Codex:cpu_total=8187.6:ws=279MB|31148:DisplayFusion:cpu_total=7219.1:ws=127MB|18288:Creative Cloud:cpu_total=5349.6:ws=230MB|23548:LM Studio:cpu_total=2386.0:ws=58MB|9972:CurseForge:cpu_total=2151.0:ws=46MB|9240:steamwebhelper:cpu_total=1454.6:ws=350MB|9932:Codex:cpu_total=1324.5:ws=455MB"
2026-06-25T20:14:19.6170126+02:00,6.2,31844,Godot_v4.6.2-stable_win64,48.203,0.000,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10419.3:ws=68MB|6348:Codex:cpu_total=8188.8:ws=303MB|31148:DisplayFusion:cpu_total=7219.2:ws=127MB|18288:Creative Cloud:cpu_total=5349.6:ws=230MB|23548:LM Studio:cpu_total=2386.0:ws=58MB|9972:CurseForge:cpu_total=2151.1:ws=46MB|9240:steamwebhelper:cpu_total=1454.6:ws=350MB|9932:Codex:cpu_total=1324.8:ws=463MB"
2026-06-25T20:14:21.6762689+02:00,8.2,31844,Godot_v4.6.2-stable_win64,48.219,0.016,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10420.1:ws=68MB|6348:Codex:cpu_total=8189.6:ws=298MB|31148:DisplayFusion:cpu_total=7219.3:ws=127MB|18288:Creative Cloud:cpu_total=5349.8:ws=230MB|23548:LM Studio:cpu_total=2386.0:ws=58MB|9972:CurseForge:cpu_total=2151.1:ws=46MB|9240:steamwebhelper:cpu_total=1454.6:ws=350MB|9932:Codex:cpu_total=1324.9:ws=461MB"
2026-06-25T20:14:23.7428485+02:00,10.3,31844,Godot_v4.6.2-stable_win64,48.250,0.031,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10420.9:ws=68MB|6348:Codex:cpu_total=8190.7:ws=282MB|31148:DisplayFusion:cpu_total=7219.4:ws=127MB|18288:Creative Cloud:cpu_total=5349.8:ws=230MB|23548:LM Studio:cpu_total=2386.0:ws=58MB|9972:CurseForge:cpu_total=2151.1:ws=46MB|9240:steamwebhelper:cpu_total=1454.6:ws=350MB|9932:Codex:cpu_total=1325.0:ws=458MB"
2026-06-25T20:14:25.8151103+02:00,12.4,31844,Godot_v4.6.2-stable_win64,48.250,0.000,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10422.0:ws=68MB|6348:Codex:cpu_total=8191.7:ws=280MB|31148:DisplayFusion:cpu_total=7219.6:ws=127MB|18288:Creative Cloud:cpu_total=5349.8:ws=230MB|23548:LM Studio:cpu_total=2386.0:ws=58MB|9972:CurseForge:cpu_total=2151.2:ws=46MB|9240:steamwebhelper:cpu_total=1454.7:ws=350MB|9932:Codex:cpu_total=1325.0:ws=455MB"
2026-06-25T20:14:27.8681819+02:00,14.4,31844,Godot_v4.6.2-stable_win64,48.250,0.000,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10422.9:ws=68MB|6348:Codex:cpu_total=8192.9:ws=281MB|31148:DisplayFusion:cpu_total=7219.7:ws=127MB|18288:Creative Cloud:cpu_total=5349.8:ws=230MB|23548:LM Studio:cpu_total=2386.0:ws=58MB|9972:CurseForge:cpu_total=2151.3:ws=46MB|9240:steamwebhelper:cpu_total=1454.7:ws=350MB|9932:Codex:cpu_total=1325.0:ws=455MB"
2026-06-25T20:14:29.9194293+02:00,16.5,31844,Godot_v4.6.2-stable_win64,48.266,0.016,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10424.0:ws=68MB|6348:Codex:cpu_total=8193.8:ws=281MB|31148:DisplayFusion:cpu_total=7219.8:ws=127MB|18288:Creative Cloud:cpu_total=5349.8:ws=230MB|23548:LM Studio:cpu_total=2386.0:ws=58MB|9972:CurseForge:cpu_total=2151.3:ws=46MB|9240:steamwebhelper:cpu_total=1454.7:ws=350MB|9932:Codex:cpu_total=1325.0:ws=454MB"
2026-06-25T20:14:31.9768992+02:00,18.5,31844,Godot_v4.6.2-stable_win64,48.297,0.031,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10425.0:ws=68MB|6348:Codex:cpu_total=8194.6:ws=281MB|31148:DisplayFusion:cpu_total=7219.8:ws=127MB|18288:Creative Cloud:cpu_total=5350.0:ws=230MB|23548:LM Studio:cpu_total=2386.0:ws=58MB|9972:CurseForge:cpu_total=2151.4:ws=46MB|9240:steamwebhelper:cpu_total=1454.7:ws=350MB|9932:Codex:cpu_total=1325.0:ws=454MB"
2026-06-25T20:14:34.0263800+02:00,20.6,31844,Godot_v4.6.2-stable_win64,48.313,0.016,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10426.0:ws=68MB|6348:Codex:cpu_total=8195.5:ws=305MB|31148:DisplayFusion:cpu_total=7219.9:ws=127MB|18288:Creative Cloud:cpu_total=5350.0:ws=230MB|23548:LM Studio:cpu_total=2386.0:ws=58MB|9972:CurseForge:cpu_total=2151.4:ws=46MB|9240:steamwebhelper:cpu_total=1454.7:ws=350MB|9932:Codex:cpu_total=1325.0:ws=454MB"
2026-06-25T20:14:36.0787877+02:00,22.6,31844,Godot_v4.6.2-stable_win64,48.328,0.016,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10426.9:ws=68MB|6348:Codex:cpu_total=8196.3:ws=303MB|31148:DisplayFusion:cpu_total=7220.0:ws=127MB|18288:Creative Cloud:cpu_total=5350.0:ws=230MB|23548:LM Studio:cpu_total=2386.0:ws=58MB|9972:CurseForge:cpu_total=2151.4:ws=46MB|9240:steamwebhelper:cpu_total=1454.7:ws=350MB|9932:Codex:cpu_total=1325.0:ws=454MB"
2026-06-25T20:14:38.1400280+02:00,24.7,31844,Godot_v4.6.2-stable_win64,48.328,0.000,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10427.5:ws=68MB|6348:Codex:cpu_total=8197.3:ws=304MB|31148:DisplayFusion:cpu_total=7220.1:ws=127MB|18288:Creative Cloud:cpu_total=5350.1:ws=230MB|23548:LM Studio:cpu_total=2386.1:ws=58MB|9972:CurseForge:cpu_total=2151.5:ws=46MB|9240:steamwebhelper:cpu_total=1454.8:ws=350MB|9932:Codex:cpu_total=1325.1:ws=454MB"
2026-06-25T20:14:40.2079443+02:00,26.8,31844,Godot_v4.6.2-stable_win64,48.344,0.016,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10428.4:ws=68MB|6348:Codex:cpu_total=8198.2:ws=301MB|31148:DisplayFusion:cpu_total=7220.2:ws=127MB|18288:Creative Cloud:cpu_total=5350.2:ws=230MB|23548:LM Studio:cpu_total=2386.2:ws=58MB|9972:CurseForge:cpu_total=2151.5:ws=46MB|9240:steamwebhelper:cpu_total=1454.8:ws=350MB|9932:Codex:cpu_total=1325.3:ws=456MB"
2026-06-25T20:14:42.2612430+02:00,28.8,31844,Godot_v4.6.2-stable_win64,48.359,0.016,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10429.4:ws=68MB|6348:Codex:cpu_total=8199.1:ws=298MB|31148:DisplayFusion:cpu_total=7220.3:ws=127MB|18288:Creative Cloud:cpu_total=5350.2:ws=230MB|23548:LM Studio:cpu_total=2386.3:ws=58MB|9972:CurseForge:cpu_total=2151.6:ws=46MB|9240:steamwebhelper:cpu_total=1454.9:ws=350MB|9932:Codex:cpu_total=1325.3:ws=454MB"
2026-06-25T20:14:44.3106887+02:00,30.9,31844,Godot_v4.6.2-stable_win64,48.359,0.000,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10430.3:ws=68MB|6348:Codex:cpu_total=8200.1:ws=297MB|31148:DisplayFusion:cpu_total=7220.4:ws=127MB|18288:Creative Cloud:cpu_total=5350.3:ws=230MB|23548:LM Studio:cpu_total=2386.4:ws=58MB|9972:CurseForge:cpu_total=2151.6:ws=46MB|9240:steamwebhelper:cpu_total=1454.9:ws=350MB|9932:Codex:cpu_total=1325.4:ws=454MB"
2026-06-25T20:14:46.3588766+02:00,32.9,31844,Godot_v4.6.2-stable_win64,48.359,0.000,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10431.3:ws=68MB|6348:Codex:cpu_total=8201.2:ws=305MB|31148:DisplayFusion:cpu_total=7220.5:ws=127MB|18288:Creative Cloud:cpu_total=5350.3:ws=230MB|23548:LM Studio:cpu_total=2386.5:ws=58MB|9972:CurseForge:cpu_total=2151.6:ws=46MB|9240:steamwebhelper:cpu_total=1455.0:ws=350MB|9932:Codex:cpu_total=1325.7:ws=455MB"
2026-06-25T20:14:48.4251643+02:00,35,31844,Godot_v4.6.2-stable_win64,48.359,0.000,2597.3,3397.0,28,"19432:StreamDeck:cpu_total=10432.3:ws=68MB|6348:Codex:cpu_total=8202.3:ws=297MB|31148:DisplayFusion:cpu_total=7220.7:ws=127MB|18288:Creative Cloud:cpu_total=5350.3:ws=230MB|23548:LM Studio:cpu_total=2386.5:ws=58MB|9972:CurseForge:cpu_total=2151.7:ws=46MB|9240:steamwebhelper:cpu_total=1455.0:ws=350MB|9932:Codex:cpu_total=1325.8:ws=456MB"
